Time	Aircraft Simulation Yaw Rate
30.6	0.004643342
30.7	0.00311266
30.8	0.001305772
30.9	-0.0005048578
31	-0.001910058
31.1	-0.002804918
31.2	-0.003195844
31.3	-0.002945466
31.4	-0.002260094
31.5	-0.001390758
31.6	-0.000347428
31.7	0.0005957333
31.8	0.00124091
31.9	0.001663165
32	0.001747955
32.1	0.001496915
32.2	0.001091493
32.3	0.0005615924
32.4	-6.254031E-06
32.5	-0.0004688028
32.6	-0.0007911636
32.7	-0.0009457205
32.8	-0.0009350723
32.9	-0.000764806
33	-0.0004849498
33.1	-0.0002082756
33.2	9.124054E-05
33.3	0.000357353
33.4	0.0004595286
33.5	0.0005222051
33.6	0.0005227315
33.7	0.0003507799
33.8	0.0002115441
33.9	8.636151E-05
34	-0.0001272139
34.1	-0.0002202078
34.2	-0.0002489064
34.3	-0.0003103057
34.4	-0.00025203
34.5	-0.0001551692
34.6	-0.0001051468
34.7	1.163235E-06
34.8	9.380507E-05
34.9	0.0001242622
35	-0.0003590054
35.1	-0.006886607
35.2	-0.01826501
35.3	-0.03264601
35.4	-0.0470162
35.5	-0.05908458
35.6	-0.06784698
35.7	-0.07168367
35.8	-0.07094443
35.9	-0.06698542
36	-0.05932777
36.1	-0.04472511
36.2	-0.02514914
36.3	-0.00438648
36.4	0.01410767
36.5	0.02767527
36.6	0.03488844
36.7	0.0355146
36.8	0.03036939
36.9	0.02114805
37	0.009887884
37.1	-0.001344105
37.2	-0.01072962
37.3	-0.01706441
37.4	-0.01976435
37.5	-0.01891931
37.6	-0.01521206
37.7	-0.009585331
37.8	-0.003238052
37.9	0.002667345
38	0.007346421
38.1	0.01017525
38.2	0.01093283
38.3	0.00989757
38.4	0.007415502
38.5	0.004072812
38.6	0.0006134139
38.7	-0.00245656
38.8	-0.004732527
38.9	-0.005874606
39	-0.005937617
39.1	-0.005072059
39.2	-0.003478215
39.3	-0.001585238
39.4	0.000277049
39.5	0.001858199
39.6	0.002891595
39.7	0.003318619
39.8	0.003169745
39.9	0.002521258
40	0.001575484
40.1	0.0005110009
40.2	-0.0004848045
40.3	-0.00124432
40.4	-0.001719479
40.5	-0.001842084
40.6	-0.001631653
40.7	-0.001234405
40.8	-0.0006836262
40.9	-6.18773E-05
41	0.0004148089
41.1	0.0007892417
41.2	0.001012456
41.3	0.0009757642
41.4	0.0008358785
41.5	0.0005955424
41.6	0.0002346135
41.7	-5.716466E-05
41.8	-0.0003000196
41.9	-0.0005084578
42	-0.0005519643
42.1	-0.0005150067
42.2	-0.000432525
42.3	-0.0002485631
42.4	-7.260453E-05
42.5	7.940688E-05
42.6	0.0002238379
42.7	0.0002871762
42.8	0.0003095105
42.9	0.0002818749
43	0.0001825565
43.1	0.000118537
43.2	1.301086E-05
43.3	-9.848447E-05
43.4	0.004640352
43.5	0.01537667
43.6	0.02994316
43.7	0.04484988
43.8	0.05786894
43.9	0.06749655
44	0.07225587
44.1	0.07216936
44.2	0.06785226
44.3	0.06024263
44.4	0.046754
44.5	0.02781164
44.6	0.007167838
44.7	-0.0117008
44.8	-0.0258843
44.9	-0.03387654
45	-0.03915657
45.1	-0.04412257
45.2	-0.04874519
45.3	-0.05194069
45.4	-0.05418477
45.5	-0.05507794
45.6	-0.05439747
45.7	-0.05266164
45.8	-0.05041812
45.9	-0.04784599
46	-0.04170435
46.1	-0.0298361
46.2	-0.01484403
46.3	0.000290582
46.4	0.01318282
46.5	0.02220119
46.6	0.02630951
46.7	0.02564406
46.8	0.02105785
46.9	0.01368987
47	0.005234853
47.1	-0.002781213
47.2	-0.009292572
47.3	-0.01334137
47.4	-0.01464942
47.5	-0.01350374
47.6	-0.01033026
47.7	-0.005978021
47.8	-0.001307388
47.9	0.002919329
48	0.006045276
48.1	0.007774008
48.2	0.008026072
48.3	0.006929083
48.4	0.004921683
48.5	0.002412165
48.6	-0.0001545652
48.7	-0.002271172
48.8	-0.003751812
48.9	-0.004451609
49	-0.004268485
49.1	-0.003483019
49.2	-0.002277172
49.3	-0.0008025907
49.4	0.0005228354
49.5	0.001565525
49.6	0.00228073
49.7	0.002464051
49.8	0.002231205
49.9	0.001719696
50	0.0009718827
50.1	0.0001769371
50.2	-0.0005052695
50.3	-0.0010355
50.4	-0.0013176
