SuperCub Airfoil (Normalized)
 1.00000  -0.03770
 0.95000  -0.01890
 0.90000  -0.00060
 0.85000   0.01600
 0.80000   0.03390
 0.75000   0.05150
 0.70000   0.06480
 0.65000   0.07800
 0.60000   0.09080
 0.55000   0.10200
 0.50000   0.11350
 0.45000   0.12200
 0.40000   0.12990
 0.35000   0.13400
 0.30000   0.13500
 0.25000   0.13150
 0.20000   0.12780
 0.15000   0.11700
 0.10000   0.10040
 0.07500   0.08840
 0.05000   0.07140
 0.03750   0.06100
 0.02500   0.05030
 0.01875   0.04500
 0.01250   0.03590
 0.00625   0.02550
 0.00312   0.01800
 0.00000   0.00000
 0.00312  -0.01100
 0.00625  -0.01800
 0.01250  -0.02600
 0.01875  -0.02900
 0.02500  -0.03200
 0.03750  -0.03500
 0.05000  -0.03720
 0.07500  -0.03930
 0.10000  -0.04040
 0.15000  -0.04140
 0.20000  -0.04050
 0.25000  -0.03980
 0.30000  -0.03960
 0.35000  -0.03945
 0.40000  -0.03930
 0.45000  -0.03915
 0.50000  -0.03900
 0.55000  -0.03880
 0.60000  -0.03870
 0.65000  -0.03860
 0.70000  -0.03840
 0.75000  -0.03825
 0.80000  -0.03810
 0.85000  -0.03800
 0.90000  -0.03780
 0.95000  -0.03770
 1.00000  -0.03770
