Time	Propeller Total Thrust	Aircraft Simulation Position Z	Aircraft Simulation Global Velocity Y	Aircraft Simulation Airspeed
11.2	13.62826	138.2336	1.965619	21.93627
11.3	13.58969	140.0063	1.894676	21.99647
11.4	13.52827	141.794	1.804817	22.05903
11.5	13.4732	143.5998	1.692227	22.12455
11.6	13.41677	145.4262	1.55638	22.19469
11.7	13.33944	147.2757	1.397619	22.2703
11.8	13.24328	149.1503	1.215001	22.35206
11.9	13.16448	151.0518	1.012696	22.4363
12	13.08898	152.9818	0.9240552	22.52603
12.1	12.97579	154.9471	1.167049	22.61596
12.2	12.941	156.9547	1.801775	22.67999
12.3	12.91018	159.0063	2.760424	22.71632
12.4	12.93018	161.0952	3.727332	22.71725
12.5	12.96024	163.2092	4.442754	22.68443
12.6	13.03545	165.3385	4.777222	22.6167
12.7	13.11784	167.4773	4.84942	22.53596
12.8	13.17335	169.6241	4.817577	22.46526
12.9	13.2355	171.7781	4.673397	22.39338
13	13.30691	173.9391	4.485922	22.33506
13.1	13.31793	176.1071	4.25562	22.28431
13.2	13.40024	178.2819	4.006837	22.24691
13.3	13.37024	180.4638	3.742349	22.22054
13.4	13.3907	182.6528	3.468781	22.20691
13.5	13.40996	184.849	3.190566	22.20548
13.6	13.3739	187.0523	2.907955	22.21617
13.7	13.38601	189.2628	2.624852	22.239
13.8	13.30153	191.4804	2.340474	22.27335
13.9	13.31185	193.7051	2.05724	22.31915
14	13.23724	195.9368	1.774915	22.37584
14.1	13.15578	198.1753	1.494685	22.44302
14.2	13.09285	200.4204	1.216867	22.52038
14.3	13.01756	202.672	0.9419293	22.60726
14.4	12.90746	204.9297	0.6705179	22.70326
14.5	12.81581	207.193	0.405243	22.80247
14.6	12.70006	209.4592	0.3072809	22.91122
14.7	12.61882	211.7238	0.5733263	23.01817
14.8	12.53565	213.9763	1.268975	23.08735
14.9	12.53026	216.1991	2.4289	23.12432
15	12.52484	218.3717	3.666147	23.11462
15.1	12.62305	220.4786	4.72789	23.06449
15.2	12.69738	222.5159	5.468803	22.98108
15.3	12.81828	224.4918	5.800883	22.86041
15.4	12.90184	226.417	5.893097	22.73595
15.5	13.01618	228.2993	5.839586	22.61178
15.6	13.14056	230.1443	5.689855	22.49545
15.7	13.21561	231.9554	5.493097	22.39068
15.8	13.31755	233.7349	5.251595	22.29573
15.9	13.41546	235.4846	4.992393	22.21539
16	13.45839	237.2055	4.714225	22.14707
16.1	13.50129	238.8983	4.428424	22.09337
16.2	13.53577	240.5637	4.135194	22.05282
16.3	13.54018	242.202	3.838732	22.02626
