Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
64.1	0	86.48942	194.4778	16.86469
64.2	0	87.7166	194.8717	16.85925
64.3	0	88.82375	195.266	16.85561
64.4	0	89.79903	195.6601	16.85066
64.5	0	90.63222	196.0538	16.84525
64.6	0	91.31387	196.4475	16.84197
64.7	0	91.83681	196.8411	16.83725
64.8	0	92.19581	197.2348	16.83188
64.9	0	92.38651	197.6285	16.82889
65	0	92.40691	198.0222	16.82439
65.1	0	92.25738	198.4151	16.8191
65.2	0	91.939	198.8083	16.8164
65.3	0	91.45535	199.2014	16.81213
65.4	0	90.81226	199.5943	16.80357
65.5	0	90.01696	199.9869	16.77012
65.6	0	89.07951	200.3783	16.72741
65.7	0	88.01132	200.7679	16.68432
65.8	0	86.82427	201.1559	16.64417
65.9	0	85.53248	201.5416	16.58396
66	0	84.15195	201.9241	16.51955
66.1	0	82.69786	202.3035	16.45582
66.2	0	81.18742	202.6792	16.37454
66.3	0	79.63817	203.0503	16.29351
66.4	0	78.06695	203.4171	16.21821
66.5	0	76.4906	203.7796	16.14537
66.6	0	74.92641	204.1373	16.07332
66.7	0	73.39146	204.4906	16.00681
66.8	0	71.90253	204.84	15.94352
66.9	0	70.47617	205.1853	15.8811
67	0	69.12842	205.5268	15.82272
67.1	0	67.87478	205.8651	15.76812
67.2	0	66.72945	206.2001	15.71457
67.3	0	65.70555	206.5321	15.66091
67.4	0	64.81602	206.861	15.58853
67.5	0	64.07166	207.1866	15.51425
67.6	0	63.48013	207.5085	15.44049
67.7	0	63.04767	207.8267	15.3712
67.8	0	62.77863	208.1412	15.30495
67.9	0	62.67492	208.4515	15.22636
68	0	62.73676	208.7571	15.14592
68.1	0	62.96267	209.0583	15.07004
68.2	0	63.34866	209.3548	14.99657
68.3	0	63.88867	209.6462	14.92463
68.4	0	64.5757	209.933	14.85809
68.5	0	65.40081	210.2153	14.79543
68.6	0	66.35278	210.4931	14.73323
68.7	0	67.41916	210.7664	14.67495
68.8	0	68.58634	211.036	14.62168
68.9	0	69.8389	211.3018	14.57022
69	0	71.15984	211.5637	14.51856
69.1	0	72.53169	211.8223	14.47235
69.2	0	73.93614	212.0778	14.42939
69.3	0	75.35406	212.3302	14.38573
69.4	0	76.76596	212.5793	14.34401
69.5	0	78.15277	212.8258	14.30697
69.6	0	79.49552	213.0694	14.27177
69.7	0	80.77576	213.31	14.23465
69.8	0	81.97585	213.5479	14.20151
69.9	0	83.07925	213.7832	14.17191
70	0	84.07084	214.0159	14.14249
70.1	0	84.93704	214.2457	14.11205
70.2	0	85.66568	214.473	14.08618
70.3	0	86.24651	214.698	14.06299
70.4	0	86.67181	214.9204	14.03804
70.5	0	86.93579	215.1404	14.01396
70.6	0	87.03452	215.3583	13.99409
70.7	0	86.96669	215.574	13.97598
70.8	0	86.73382	215.7875	13.95461
70.9	0	86.3394	215.9989	13.93592
71	0	85.78892	216.2085	13.92088
71.1	0	85.09054	216.4162	13.90609
71.2	0	84.25496	216.6219	13.88832
71.3	0	83.29423	216.8258	13.87416
71.4	0	82.22219	217.0281	13.86296
71.5	0	81.05479	217.2286	13.8504
71.6	0	79.80939	217.4274	13.83608
71.7	0	78.50407	217.6246	13.82581
71.8	0	77.15781	217.8203	13.81754
71.9	0	75.79062	218.0143	13.80651
72	0	74.42276	218.2069	13.79532
72.1	0	73.07413	218.398	13.788
72.2	0	71.76458	218.5879	13.78188
72.3	0	70.51357	218.7763	13.77179
72.4	0	69.3396	218.9635	13.7633
72.5	0	68.25983	219.1494	13.75797
72.6	0	67.29018	219.3342	13.75303
72.7	0	66.44514	219.5177	13.74389
72.8	0	65.737	219.7002	13.73748
72.9	0	65.17612	219.8815	13.73361
73	0	64.7708	220.0618	13.72894
73.1	0	64.52703	220.2409	13.72097
73.2	0	64.44821	220.419	13.716
73.3	0	64.53537	220.5961	13.71327
73.4	0	64.7872	220.7721	13.70835
73.5	0	65.19989	220.9471	13.70144
73.6	0	65.76705	221.121	13.69756
73.7	0	66.4803	221.2939	13.69535
73.8	0	67.3291	221.4657	13.69
73.9	0	68.30071	221.6364	13.68385
74	0	69.38068	221.8061	13.68075
74.1	0	70.55315	221.9746	13.67868
74.2	0	71.8008	222.142	13.67278
74.3	0	73.10517	222.3082	13.66738
74.4	0	74.4472	222.4733	13.66475
74.5	0	75.8073	222.6371	13.66284
74.6	0	77.16539	222.7996	13.65662
74.7	0	78.50171	222.9609	13.65199
74.8	0	79.79705	223.1208	13.64981
74.9	0	81.03258	223.2792	13.6479
75	0	82.19012	223.4362	13.64179
75.1	0	83.25327	223.5919	13.63787
75.2	0	84.20687	223.7459	13.63656
75.3	0	85.03713	223.8983	13.6342
75.4	0	85.73192	224.0492	13.62853
75.5	0	86.28181	224.1983	13.62541
75.6	0	86.67914	224.3456	13.62498
75.7	0	86.91803	224.4911	13.62192
75.8	0	86.99512	224.6348	13.61663
75.9	0	86.91	224.7764	13.61471
76	0	86.66401	224.9159	13.61524
76.1	0	86.26035	225.0533	13.61168
76.2	0	85.70501	225.1887	13.60693
76.3	0	85.00639	225.3216	13.60616
76.4	0	84.17436	225.4519	13.60737
76.5	0	83.22047	225.5799	13.60387
76.6	0	82.15833	225.7052	13.60071
76.7	0	81.00294	225.8275	13.60097
76.8	0	79.77029	225.9468	13.60187
76.9	0	78.47761	226.0633	13.59808
77	0	77.14264	226.1764	13.59733
77.1	0	75.78352	226.2856	13.60014
77.2	0	74.41885	226.3911	13.60213
77.3	0	73.06734	226.4928	13.60154
77.4	0	71.74673	226.5907	13.6062
77.5	0	70.47407	226.6846	13.61847
77.6	0	69.26645	226.7745	13.63377
77.7	0	68.14117	226.8603	13.64746
77.8	0	67.11456	226.9417	13.6633
77.9	0	66.20157	227.0189	13.68405
78	0	65.41454	227.093	13.70103
78.1	0	64.76081	227.1647	13.71708
78.2	0	64.24593	227.2346	13.74083
78.3	0	63.87834	227.3032	13.77058
78.4	0	63.66881	227.3665	13.79414
78.5	0	63.62491	227.4166	13.81985
78.6	0	63.75335	227.4402	13.86731
78.7	0	64.05937	227.4216	13.94513
78.8	0	64.54537	227.3456	14.05709
78.9	0	65.21004	227.1972	14.22234
79	0	66.04803	226.963	14.45094
79.1	0	67.04958	226.6331	14.74019
79.2	0	68.19926	226.2019	15.08817
79.3	0	69.47598	225.6693	15.49873
79.4	0	70.8535	225.042	15.95184
79.5	0	72.3018	224.3351	16.41704
79.6	0	73.78991	223.5727	16.87993
79.7	0	75.28944	222.7888	17.31618
79.8	0	76.77911	222.0246	17.70163
79.9	0	78.24636	221.3212	18.02738
80	0	79.6862	220.7228	18.28468
80.1	0	81.09987	220.2679	18.45134
80.2	0	82.49574	219.9831	18.51461
80.3	0	83.88998	219.8758	18.47565
80.4	0	85.30493	219.9285	18.33937
80.5	0	86.76429	220.0985	18.1381
80.6	0	88.28722	220.3248	17.92
80.7	0	89.88315	220.5368	17.73261
80.8	0	91.54901	220.6623	17.62293
80.9	0	93.26894	220.6314	17.63553
81	0	95.01145	220.3779	17.78881
81.1	0	96.72649	219.8472	18.10432
81.2	0	98.35019	219.0068	18.58108
81.3	0	99.81145	217.8484	19.19603
81.4	0	101.0384	216.3862	19.92178
81.5	0	101.9641	214.6536	20.72656
81.6	0	102.5287	212.7015	21.56748
81.7	0	102.6851	210.5962	22.40999
81.8	0	102.4025	208.4185	23.21519
81.9	0	101.6702	206.2652	23.92734
82	0	100.5152	204.2451	24.49805
82.1	0	99.04408	202.441	24.89069
82.2	0	97.45555	200.8457	25.14489
82.3	0	95.96282	199.3554	25.37309
82.4	0	94.74904	197.8273	25.6735
82.5	0	93.96558	196.1109	26.06709
82.6	0	93.65954	194.1012	26.55688
82.7	0	93.76563	191.7796	27.11232
82.8	0	94.14714	189.1944	27.72022
82.9	0	94.6265	186.4373	28.32894
83	0	95.00896	183.6249	28.90319
83.1	0	95.10955	180.8819	29.40523
83.2	0	94.77877	178.3248	29.80134
83.3	0	93.92501	176.0497	30.07113
83.4	0	92.52452	174.1274	30.19203
83.5	0	90.61945	172.6085	30.163
83.6	0	88.30488	171.5437	29.9717
83.7	0	85.72485	171.0036	29.5936
83.8	0	83.09249	171.0063	28.9778
83.9	0	80.61756	171.3849	28.28918
84	0	78.4147	171.8762	27.63837
84.1	0	76.49785	172.1962	27.1004
84.2	0	74.78909	172.1226	26.70107
84.3	0	73.15218	171.5744	26.41513
84.4	0	71.43799	170.6427	26.19776
84.5	0	69.55248	169.5692	26.06513
84.6	0	67.50582	168.5868	25.96866
84.7	0	65.40867	167.7871	25.84615
84.8	0	63.40686	167.0962	25.74718
84.9	0	61.63992	166.3491	25.71183
85	0	60.1873	165.3511	25.81802
85.1	0	59.04982	163.9622	26.07046
85.2	0	58.15264	162.1375	26.4577
85.3	0	57.35769	159.9308	26.88714
85.4	0	56.47306	157.4994	27.29066
85.5	0	55.32335	155.0406	27.65748
