Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
14.2	0	4.865521	1.433988	0.001221134
14.3	0	4.865497	1.433989	0.0008703722
14.4	0	4.86548	1.43399	0.0008895571
14.5	0	4.865452	1.433993	0.0008843107
14.6	0	4.865435	1.43399	0.001103104
14.7	0	4.865416	1.433993	0.001242282
14.8	0	4.865395	1.433991	0.0009278156
14.9	0	4.865372	1.433989	0.0007580154
15	0	4.865349	1.433992	0.0008014953
15.1	0	4.865325	1.433992	0.0008513124
15.2	0	4.865306	1.433987	0.001120656
15.3	0	4.865288	1.433989	0.001259487
15.4	0	4.865267	1.433986	0.00133352
15.5	0	4.865242	1.433991	0.0009817452
15.6	0	4.865226	1.433987	0.0009963603
15.7	0	4.865203	1.433985	0.001193444
15.8	0	4.865181	1.433991	0.000902212
15.9	0	4.865165	1.433988	0.001150518
16	0	4.865143	1.433988	0.0009160689
16.1	0	4.865122	1.433989	0.0007852396
16.2	0	4.865098	1.433991	0.0009148655
16.3	0	4.865075	1.433987	0.0009213709
16.4	0	4.865056	1.433989	0.0007908947
16.5	0	4.865033	1.433987	0.001294955
16.6	0	4.865017	1.433985	0.001409042
16.7	0	4.864991	1.433985	0.001375127
16.8	0	4.864978	1.433986	0.001592562
16.9	0	4.864948	1.433987	0.001385221
17	0	4.864932	1.433986	0.001132638
17.1	0	4.864912	1.433989	0.001091778
17.2	0	4.864889	1.433986	0.0009992979
17.3	0	4.864865	1.433987	0.001022759
17.4	0	4.864844	1.433984	0.001019222
17.5	0	4.864817	1.433986	0.0006995876
17.6	0	4.864799	1.433983	0.001048056
17.7	0	4.864781	1.433985	0.0008206589
17.8	0	4.864762	1.433981	0.001100195
17.9	0	4.864742	1.433985	0.00095966
18	0	4.864718	1.433986	0.0009717846
18.1	0	4.864699	1.433986	0.001243953
18.2	0	4.86468	1.433983	0.001088644
18.3	0	4.864652	1.433982	0.001253698
18.4	0	4.864635	1.433981	0.001434304
18.5	0	4.864614	1.433985	0.001376354
18.6	0	4.864591	1.433979	0.001409648
18.7	0	4.864573	1.433986	0.001473512
18.8	0	4.864558	1.433978	0.001473575
18.9	0	4.864532	1.433984	0.001335459
19	0	4.864518	1.433981	0.001142017
