Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
84	51.91462	731.9343	0	0	0	12.18284
84.1	51.77761	733.1489	0	0	0	12.25653
84.2	51.64665	734.3716	0	0	0	12.32461
84.3	51.52242	735.6013	0	0	0	12.38678
84.4	51.40553	736.8376	0	0	0	12.44255
84.5	51.2965	738.08	0	0	0	12.49164
84.6	51.19584	739.3275	0	0	0	12.53378
84.7	51.10398	740.5795	0	0	0	12.56883
84.8	51.02129	741.8353	0	0	0	12.59654
84.9	50.94808	743.0942	0	0	0	12.61668
85	50.88454	744.3549	0	0	0	12.62923
85.1	50.83088	745.6176	0	0	0	12.6342
85.2	50.78718	746.8803	0	0	0	12.63152
85.3	50.75341	748.1429	0	0	0	12.62118
85.4	50.72953	749.404	0	0	0	12.60321
85.5	50.7154	750.6633	0	0	0	12.57796
85.6	50.71087	751.9193	0	0	0	12.54539
85.7	50.71553	753.1718	0	0	0	12.50569
85.8	50.72905	754.4201	0	0	0	12.45914
85.9	50.751	755.6631	0	0	0	12.40609
86	50.78091	756.9003	0	0	0	12.34692
86.1	50.8182	758.1312	0	0	0	12.28185
86.2	50.86226	759.3549	0	0	0	12.21137
86.3	50.91245	760.5712	0	0	0	12.136
86.4	50.96809	761.7793	0	0	0	12.05616
86.5	51.02846	762.9791	0	0	0	11.97235
86.6	51.09277	764.1702	0	0	0	11.88509
86.7	51.16026	765.3522	0	0	0	11.79502
86.8	51.23011	766.525	0	0	0	11.70275
86.9	51.30153	767.6884	0	0	0	11.60884
87	51.37366	768.8423	0	0	0	11.51394
87.1	51.44571	769.9868	0	0	0	11.41877
87.2	51.51692	771.1217	0	0	0	11.32398
87.3	51.58648	772.2474	0	0	0	11.23021
87.4	51.65361	773.364	0	0	0	11.13818
87.5	51.71757	774.4717	0	0	0	11.04852
87.6	51.77767	775.5709	0	0	0	10.96199
87.7	51.83321	776.6617	0	0	0	10.87916
87.8	51.88359	777.7451	0	0	0	10.80063
87.9	51.92821	778.821	0	0	0	10.72705
88	51.96651	779.8901	0	0	0	10.65909
88.1	51.99802	780.9531	0	0	0	10.59714
88.2	52.02227	782.0105	0	0	0	10.54174
88.3	52.03889	783.0627	0	0	0	10.49333
88.4	52.04753	784.111	0	0	0	10.45232
88.5	52.04792	785.1555	0	0	0	10.41899
88.6	52.03986	786.1969	0	0	0	10.3936
88.7	52.02315	787.2358	0	0	0	10.37635
88.8	51.99771	788.2742	0	0	0	10.36732
88.9	51.96349	789.3127	0	0	0	10.36659
89	51.92049	790.3511	0	0	0	10.37412
89.1	51.86881	791.3895	0	0	0	10.38975
89.2	51.80855	792.4288	0	0	0	10.41331
89.3	51.73989	793.4705	0	0	0	10.44463
89.4	51.66307	794.5154	0	0	0	10.48335
89.5	51.57834	795.5639	0	0	0	10.52902
89.6	51.48604	796.6163	0	0	0	10.58127
89.7	51.38654	797.6739	0	0	0	10.63973
89.8	51.28025	798.7369	0	0	0	10.70386
89.9	51.16767	799.8058	0	0	0	10.773
90	51.04926	800.8813	0	0	0	10.84664
90.1	50.92556	801.9639	0	0	0	10.92419
90.2	50.79717	803.0537	0	0	0	11.00505
90.3	50.66468	804.1513	0	0	0	11.08864
90.4	50.52873	805.257	0	0	0	11.17422
90.5	50.38995	806.371	0	0	0	11.26116
90.6	50.249	807.4935	0	0	0	11.34894
90.7	50.1066	808.6247	0	0	0	11.43696
90.8	49.96343	809.7645	0	0	0	11.52449
90.9	49.8202	810.9131	0	0	0	11.61099
91	49.67759	812.0703	0	0	0	11.69591
91.1	49.53632	813.2361	0	0	0	11.77872
91.2	49.39708	814.4105	0	0	0	11.8589
91.3	49.2606	815.593	0	0	0	11.93591
91.4	49.12751	816.7833	0	0	0	12.00925
91.5	48.99846	817.9813	0	0	0	12.07855
91.6	48.87409	819.1865	0	0	0	12.14334
91.7	48.75499	820.3984	0	0	0	12.20332
91.8	48.64171	821.6166	0	0	0	12.25807
91.9	48.53477	822.8407	0	0	0	12.30724
92	48.43463	824.0698	0	0	0	12.3506
92.1	48.34173	825.3036	0	0	0	12.38798
92.2	48.25646	826.5412	0	0	0	12.41909
92.3	48.17913	827.7822	0	0	0	12.44375
92.4	48.10997	829.026	0	0	0	12.46178
92.5	48.04921	830.2709	0	0	0	12.47327
92.6	47.99701	831.5185	0	0	0	12.47805
92.7	47.95341	832.7661	0	0	0	12.47606
92.8	47.91842	834.0135	0	0	0	12.46735
92.9	47.89198	835.2591	0	0	0	12.45205
93	47.87403	836.5035	0	0	0	12.43033
93.1	47.86438	837.7451	0	0	0	12.40212
93.2	47.86274	838.9836	0	0	0	12.36763
93.3	47.86882	840.2181	0	0	0	12.32722
93.4	47.88224	841.4487	0	0	0	12.28108
93.5	47.90261	842.674	0	0	0	12.2295
93.6	47.9294	843.8937	0	0	0	12.17278
93.7	47.9621	845.1075	0	0	0	12.11136
93.8	48.0002	846.3148	0	0	0	12.04568
93.9	48.04305	847.5151	0	0	0	11.97603
94	48.09005	848.7081	0	0	0	11.90292
94.1	48.14051	849.8935	0	0	0	11.82688
94.2	48.19379	851.071	0	0	0	11.74841
94.3	48.2492	852.2405	0	0	0	11.66803
94.4	48.30602	853.402	0	0	0	11.58623
94.5	48.36355	854.5551	0	0	0	11.50363
94.6	48.42109	855.6999	0	0	0	11.42085
94.7	48.47795	856.8365	0	0	0	11.33837
94.8	48.53345	857.9652	0	0	0	11.25683
94.9	48.58691	859.0857	0	0	0	11.17681
95	48.63769	860.1987	0	0	0	11.09893
95.1	48.68518	861.304	0	0	0	11.0237
95.2	48.72876	862.4023	0	0	0	10.95173
95.3	48.76789	863.4938	0	0	0	10.88352
95.4	48.80204	864.5789	0	0	0	10.81963
95.5	48.83075	865.658	0	0	0	10.76058
