Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	2.352609	42.39199
0.2	2.061264	42.02702
0.3	2.021049	41.97587
0.4	2.010772	41.96371
0.5	2.006212	41.95583
0.6	2.002765	41.95236
0.7	2.00269	41.95279
0.8	2.001611	41.94954
0.9	1.999893	41.94895
1	2.001191	41.95039
1.1	2.000277	41.94777
1.2	1.998972	41.94806
1.3	2.000737	41.94932
1.4	1.999642	41.94709
1.5	1.998634	41.94779
1.6	2.000759	41.9489
1.7	1.999538	41.94728
1.8	1.998782	41.94803
1.9	2.00029	41.94801
2	1.999468	41.94759
2.1	1.998995	41.94817
2.2	1.999779	41.94723
2.3	1.999465	41.94801
2.4	1.99924	41.9482
2.5	1.999717	41.94706
2.6	1.999553	41.94849
2.7	1.999493	41.94812
2.8	1.999595	41.947
2.9	1.999725	41.94896
3	1.999723	41.94795
3.1	1.999439	41.94706
3.2	1.999952	41.94935
3.3	1.999901	41.94774
3.4	1.999286	41.94726
3.5	2.000161	41.94956
3.6	2.00001	41.94754
3.7	1.998737	41.94696
3.8	2.000262	41.94949
3.9	2.000048	41.9474
4	1.998668	41.94728
4.1	2.000029	41.94892
4.2	2.000034	41.94738
4.3	1.998672	41.94763
4.4	1.999585	41.94807
4.5	1.999986	41.94749
4.6	1.998758	41.94794
4.7	1.999763	41.94786
4.8	1.999941	41.94773
4.9	1.998924	41.94819
5	1.999871	41.94759
5.1	1.999921	41.94811
5.2	1.999154	41.94835
5.3	1.999898	41.94737
5.4	1.999936	41.94854
5.5	1.999422	41.94841
5.6	1.999847	41.94722
5.7	1.999943	41.94891
5.8	1.999701	41.94836
5.9	1.999306	41.94659
6	1.99989	41.94913
6.1	1.999961	41.94823
6.2	1.999148	41.94665
6.3	1.999605	41.94895
6.4	2.000183	41.94807
6.5	1.998989	41.94682
6.6	1.999005	41.94831
6.7	2.000342	41.94793
6.8	1.998867	41.94711
6.9	1.999228	41.94839
7	2.000441	41.94785
7.1	1.99881	41.94745
7.2	1.99947	41.94835
7.3	2.00048	41.94789
7.4	1.998828	41.9478
7.5	1.999701	41.94821
7.6	2.000454	41.94801
7.7	1.998937	41.94815
7.8	1.999885	41.948
7.9	2.000352	41.94819
8	1.999125	41.94843
8.1	1.999578	41.94719
8.2	2.000134	41.94833
8.3	1.999385	41.94862
8.4	1.999604	41.94695
8.5	1.999693	41.94824
8.6	1.999695	41.94872
8.7	1.999547	41.9468
8.8	2.004481	41.95639
8.9	2.000024	41.94873
9	1.999431	41.94674
9.1	1.998821	41.94798
9.2	2.000341	41.94867
9.3	1.999288	41.9468
9.4	1.998939	41.94827
9.5	2.000617	41.94858
9.6	1.999145	41.94701
9.7	1.999119	41.94846
9.8	2.000814	41.94847
9.9	1.999042	41.94731
10	1.999352	41.94855
10.1	2.000871	41.94832
10.2	1.999008	41.94767
10.3	1.999603	41.94852
10.4	2.000728	41.94815
10.5	1.99906	41.94807
10.6	1.999405	41.94781
10.7	2.000304	41.94782
10.8	1.999204	41.94846
10.9	1.999587	41.94759
11	1.999219	41.94696
11.1	1.999441	41.9488
11.2	1.999704	41.94734
11.3	1.999045	41.94716
11.4	1.999758	41.94905
11.5	1.999741	41.94711
11.6	1.99894	41.94746
11.7	2.000123	41.94921
11.8	1.999702	41.94696
11.9	1.998902	41.9478
12	2.000491	41.94926
12.1	1.999605	41.94693
12.2	1.998943	41.94814
12.3	2.000783	41.94917
12.4	1.999485	41.94702
12.5	1.999069	41.94843
12.6	2.000903	41.94889
12.7	1.999374	41.94728
12.8	1.998827	41.94805
12.9	2.00074	41.94836
13	1.999307	41.94761
13.1	1.999055	41.94813
13.2	1.999864	41.94723
13.3	1.999318	41.94803
13.4	1.9993	41.9481
13.5	1.999618	41.94695
13.6	1.999422	41.94849
13.7	1.999536	41.94797
13.8	1.999474	41.94695
13.9	1.999627	41.94893
14	1.999737	41.94775
14.1	1.99931	41.94708
14.2	1.999907	41.94932
14.3	1.999871	41.94754
14.4	1.999166	41.94732
14.5	2.000208	41.94956
14.6	1.999933	41.94734
14.7	1.99907	41.94761
14.8	2.000441	41.94956
14.9	1.999922	41.94723
15	1.99861	41.94738
15.1	2.000483	41.94924
15.2	1.999866	41.94723
15.3	1.998649	41.94772
15.4	1.999992	41.9483
15.5	1.999786	41.94738
15.6	1.998766	41.948
15.7	1.999773	41.94767
15.8	1.999731	41.94767
15.9	1.998958	41.9482
16	1.999844	41.94742
16.1	1.999722	41.94809
16.2	1.9992	41.9483
16.3	1.99983	41.94722
16.4	1.999782	41.94855
16.5	1.999462	41.94829
16.6	1.999741	41.94711
16.7	1.99988	41.949
16.8	1.999721	41.94818
16.9	1.999605	41.94711
17	1.999974	41.94931
17.1	1.999952	41.94801
17.2	1.99902	41.94666
17.3	1.999964	41.94936
17.4	2.000123	41.94783
17.5	1.998872	41.94688
17.6	1.999597	41.94887
17.7	2.000228	41.94769
17.8	1.998768	41.94719
17.9	1.999297	41.94833
18	2.000274	41.94764
18.1	1.998741	41.94753
18.2	1.999534	41.94824
18.3	2.000274	41.9477
18.4	1.998793	41.94788
18.5	1.999742	41.94807
18.6	2.000246	41.94791
18.7	1.99893	41.94818
18.8	1.999895	41.94782
18.9	2.000194	41.9482
19	1.999138	41.94843
19.1	1.999973	41.94759
19.2	2.000095	41.94849
19.3	1.99941	41.94854
19.4	1.999536	41.94681
19.5	1.999894	41.94865
19.6	1.999709	41.94858
19.7	1.999446	41.9467
19.8	1.999417	41.94846
