Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
0.1	4.31923	46.24406
0.2	4.048873	45.90782
0.3	4.011598	45.86143
0.4	4.005612	45.85405
0.5	4.002443	45.8501
0.6	4.000367	45.8475
0.7	3.999472	45.84643
0.8	3.998225	45.84486
0.9	3.997714	45.8442
1	3.997924	45.8445
1.1	3.99701	45.84335
1.2	3.996828	45.84311
1.3	3.997452	45.8439
1.4	3.996515	45.84274
1.5	3.996429	45.84261
1.6	3.997528	45.84399
1.7	3.996553	45.84279
1.8	3.996438	45.84262
1.9	3.997265	45.84365
2	3.996606	45.84286
2.1	3.996444	45.84263
2.2	3.996754	45.84301
2.3	3.996689	45.84296
2.4	3.996453	45.84265
2.5	3.996773	45.84303
2.6	3.996815	45.84312
2.7	3.996463	45.84266
2.8	3.99679	45.84305
2.9	3.996994	45.84335
3	3.996476	45.84268
3.1	3.996809	45.84307
3.2	3.99722	45.84362
3.3	3.996491	45.84271
3.4	3.996828	45.8431
3.5	3.99743	45.84387
3.6	3.996513	45.84273
3.7	3.996429	45.84261
3.8	3.99753	45.84399
3.9	3.996547	45.84278
4	3.996436	45.84262
4.1	3.997341	45.84375
4.2	3.996597	45.84285
4.3	3.996442	45.84263
4.4	3.996753	45.84301
4.5	3.996675	45.84295
4.6	3.996453	45.84265
4.7	3.99677	45.84302
4.8	3.996791	45.8431
4.9	3.996462	45.84266
5	3.996788	45.84305
5.1	3.996964	45.84331
5.2	3.996473	45.84267
5.3	3.996806	45.84307
5.4	3.997184	45.84358
5.5	3.996487	45.8427
5.6	3.996824	45.8431
5.7	3.997405	45.84385
5.8	3.996509	45.84273
5.9	3.996428	45.84261
6	3.997527	45.84399
6.1	3.99654	45.84277
6.2	3.996434	45.84262
6.3	3.997399	45.84382
6.4	3.996588	45.84284
6.5	3.996442	45.84263
6.6	4.002472	45.85012
6.7	3.996661	45.84293
6.8	3.99645	45.84264
6.9	3.996768	45.84302
7	3.996771	45.84307
7.1	3.996459	45.84266
7.2	3.996786	45.84304
7.3	3.996937	45.84327
7.4	3.996471	45.84267
7.5	3.996803	45.84307
7.6	3.997152	45.84354
7.7	3.996486	45.8427
7.8	3.996821	45.84309
7.9	3.997377	45.84381
8	3.996505	45.84272
8.1	3.996843	45.84312
8.2	3.997519	45.84398
8.3	3.996536	45.84277
8.4	3.996434	45.84262
8.5	3.997442	45.84387
8.6	3.99658	45.84282
8.7	3.996439	45.84262
8.8	3.996767	45.84302
8.9	3.996649	45.84292
9	3.996448	45.84264
9.1	3.996765	45.84302
9.2	3.996753	45.84305
9.3	3.996458	45.84266
9.4	3.996783	45.84304
9.5	3.996909	45.84324
9.6	3.996469	45.84267
9.7	3.996799	45.84307
9.8	3.99712	45.8435
9.9	3.996484	45.84269
10	3.996819	45.84309
10.1	3.997347	45.84378
10.2	3.996502	45.84272
10.3	3.996838	45.84312
10.4	3.997508	45.84397
10.5	3.996531	45.84276
10.6	3.996433	45.84262
10.7	3.997476	45.84391
10.8	3.996573	45.84282
10.9	3.996441	45.84263
11	3.996868	45.84315
11.1	3.996637	45.8429
11.2	3.996446	45.84264
11.3	3.996762	45.84301
11.4	3.996736	45.84303
11.5	3.996457	45.84265
11.6	3.99678	45.84304
11.7	3.996885	45.84321
11.8	3.996468	45.84267
11.9	3.996797	45.84306
12	3.997086	45.84346
12.1	3.996481	45.84269
12.2	3.996816	45.84309
12.3	3.997315	45.84374
12.4	3.996498	45.84271
12.5	3.996835	45.84311
12.6	3.997493	45.84395
12.7	3.996527	45.84275
12.8	3.996431	45.84261
12.9	3.997502	45.84394
13	3.996565	45.84281
13.1	3.996439	45.84263
13.2	3.997035	45.84335
13.3	3.996625	45.84289
13.4	3.996444	45.84264
13.5	3.996758	45.84301
13.6	3.996718	45.843
13.7	3.996455	45.84265
13.8	3.996777	45.84303
13.9	3.99686	45.84318
14	3.996466	45.84267
14.1	3.996796	45.84306
14.2	3.997056	45.84342
14.3	3.996478	45.84269
14.4	3.996815	45.84309
14.5	3.997285	45.8437
14.6	3.996495	45.84271
14.7	3.996832	45.84311
14.8	3.997474	45.84393
14.9	3.996522	45.84275
15	3.996431	45.84261
15.1	3.997518	45.84397
15.2	3.996557	45.8428
15.3	3.996438	45.84262
15.4	3.997168	45.84352
15.5	3.996615	45.84287
15.6	3.996445	45.84263
15.7	3.996758	45.84301
15.8	3.996705	45.84298
15.9	3.996453	45.84265
16	3.996775	45.84303
16.1	3.996837	45.84315
16.2	3.996464	45.84266
16.3	3.996794	45.84306
16.4	3.997026	45.84339
16.5	3.996478	45.84268
16.6	3.996811	45.84309
16.7	3.997252	45.84366
16.8	3.996492	45.8427
16.9	3.996832	45.84311
17	3.997453	45.8439
17.1	3.996517	45.84274
17.2	3.996429	45.84261
17.3	3.997527	45.84399
17.4	3.996552	45.84279
17.5	3.996438	45.84263
17.6	3.997265	45.84365
17.7	3.996607	45.84286
17.8	3.996443	45.84263
17.9	3.996754	45.843
18	3.996689	45.84297
18.1	3.996454	45.84265
18.2	3.996773	45.84303
18.3	3.996815	45.84312
18.4	3.996463	45.84267
18.5	3.996791	45.84306
18.6	3.996994	45.84335
18.7	3.996475	45.84268
18.8	3.99681	45.84308
18.9	3.997219	45.84362
19	3.99649	45.8427
19.1	3.996828	45.84311
19.2	3.997429	45.84387
19.3	3.996513	45.84274
19.4	3.99643	45.84261
19.5	3.99753	45.84399
19.6	3.996545	45.84278
19.7	3.996436	45.84262
19.8	3.997341	45.84374
19.9	3.996597	45.84285
20	3.996442	45.84263
20.1	3.996753	45.843
20.2	3.996674	45.84295
20.3	3.996452	45.84264
20.4	3.99677	45.84303
20.5	3.996791	45.84309
20.6	3.996461	45.84266
20.7	3.996789	45.84305
20.8	3.996965	45.84331
20.9	3.996473	45.84268
21	3.996806	45.84307
21.1	3.997184	45.84357
21.2	3.996487	45.8427
21.3	3.996824	45.8431
21.4	3.997404	45.84385
21.5	3.99651	45.84273
21.6	3.996428	45.84261
21.7	3.997527	45.84399
21.8	3.99654	45.84277
21.9	3.996435	45.84262
22	3.997399	45.84382
22.1	3.996587	45.84283
22.2	3.996442	45.84263
22.3	4.002472	45.85012
22.4	3.996661	45.84293
22.5	3.996449	45.84264
22.6	3.996768	45.84303
22.7	3.996772	45.84307
22.8	3.996459	45.84266
22.9	3.996786	45.84305
23	3.996937	45.84328
23.1	3.99647	45.84267
23.2	3.996803	45.84307
23.3	3.997152	45.84354
23.4	3.996486	45.8427
23.5	3.996822	45.84309
23.6	3.997377	45.84381
23.7	3.996505	45.84272
23.8	3.996843	45.84312
23.9	3.997518	45.84398
24	3.996536	45.84277
24.1	3.996433	45.84261
24.2	3.997442	45.84387
24.3	3.99658	45.84283
24.4	3.996439	45.84263
24.5	3.996767	45.84302
24.6	3.996648	45.84291
24.7	3.996448	45.84264
24.8	3.996764	45.84302
24.9	3.996753	45.84305
25	3.996457	45.84265
25.1	3.996782	45.84304
25.2	3.996909	45.84324
25.3	3.996469	45.84267
25.4	3.996799	45.84306
25.5	3.997121	45.8435
25.6	3.996483	45.84269
25.7	3.996819	45.84309
25.8	3.997347	45.84377
25.9	3.996503	45.84272
26	3.996838	45.84312
26.1	3.997508	45.84396
26.2	3.996531	45.84276
26.3	3.996433	45.84262
26.4	3.997477	45.84391
26.5	3.996573	45.84282
26.6	3.996442	45.84263
26.7	3.996868	45.84314
26.8	3.996637	45.8429
26.9	3.996446	45.84264
27	3.996762	45.84302
27.1	3.996736	45.84303
27.2	3.996456	45.84266
27.3	3.996781	45.84304
27.4	3.996884	45.84321
27.5	3.996468	45.84267
27.6	3.996796	45.84306
27.7	3.997086	45.84346
27.8	3.996481	45.84269
27.9	3.996816	45.84309
28	3.997315	45.84374
28.1	3.996498	45.84271
28.2	3.996836	45.84311
28.3	3.997493	45.84395
28.4	3.996527	45.84275
28.5	3.996431	45.84261
28.6	3.997502	45.84395
28.7	3.996565	45.8428
28.8	3.996439	45.84262
28.9	3.997036	45.84336
29	3.996625	45.84289
29.1	3.996444	45.84263
29.2	3.996758	45.84301
29.3	3.996718	45.843
29.4	3.996455	45.84265
29.5	3.996777	45.84304
29.6	3.99686	45.84318
29.7	3.996466	45.84267
29.8	3.996795	45.84306
29.9	3.997055	45.84343
30	3.996478	45.84269
30.1	3.996815	45.84309
30.2	3.997285	45.8437
30.3	3.996495	45.84271
30.4	3.996832	45.84311
30.5	3.997475	45.84393
30.6	3.996522	45.84275
30.7	3.996431	45.84261
30.8	3.997519	45.84397
30.9	3.996557	45.8428
31	3.996438	45.84262
31.1	3.997167	45.84352
31.2	3.996615	45.84287
31.3	3.996444	45.84264
31.4	3.996758	45.84301
31.5	3.996705	45.84299
31.6	3.996454	45.84264
31.7	3.996775	45.84303
31.8	3.996837	45.84315
31.9	3.996463	45.84266
32	3.996794	45.84306
32.1	3.997026	45.84338
32.2	3.996477	45.84268
32.3	3.996812	45.84308
32.4	3.997252	45.84366
32.5	3.996492	45.84271
32.6	3.996832	45.84311
32.7	3.997452	45.8439
32.8	3.996518	45.84274
32.9	3.996429	45.84261
33	3.997528	45.84399
33.1	3.996552	45.84279
33.2	3.996437	45.84262
33.3	3.997265	45.84364
33.4	3.996607	45.84286
33.5	3.996443	45.84264
33.6	3.996754	45.84301
33.7	3.996689	45.84296
33.8	3.996453	45.84265
33.9	3.996773	45.84303
34	3.996815	45.84313
34.1	3.996463	45.84266
34.2	3.99679	45.84306
34.3	3.996994	45.84335
34.4	3.996476	45.84269
34.5	3.99681	45.84307
34.6	3.997219	45.84362
34.7	3.99649	45.8427
34.8	3.996827	45.84311
34.9	3.997429	45.84388
35	3.996513	45.84274
35.1	3.99643	45.84261
35.2	3.99753	45.84399
35.3	3.996545	45.84278
35.4	3.996436	45.84262
35.5	3.997341	45.84375
35.6	3.996597	45.84285
35.7	3.996442	45.84263
35.8	3.996753	45.84301
35.9	3.996675	45.84295
36	3.996453	45.84265
36.1	3.99677	45.84303
36.2	3.996791	45.84309
36.3	3.996462	45.84266
36.4	3.996789	45.84305
36.5	3.996965	45.84331
36.6	3.996473	45.84268
36.7	3.996806	45.84307
36.8	3.997184	45.84358
36.9	3.996487	45.8427
37	3.996824	45.8431
37.1	3.997404	45.84384
37.2	3.99651	45.84273
37.3	3.996428	45.84261
37.4	3.997527	45.84399
37.5	3.99654	45.84277
37.6	3.996435	45.84262
37.7	3.997399	45.84381
37.8	3.996587	45.84284
37.9	3.996442	45.84263
38	4.002472	45.85012
38.1	3.996661	45.84293
38.2	3.996449	45.84264
38.3	3.996768	45.84303
38.4	3.996772	45.84307
38.5	3.996459	45.84266
38.6	3.996786	45.84305
38.7	3.996937	45.84328
38.8	3.99647	45.84267
38.9	3.996803	45.84307
39	3.997152	45.84354
39.1	3.996486	45.8427
39.2	3.996822	45.84309
39.3	3.997377	45.84381
39.4	3.996505	45.84272
39.5	3.996843	45.84312
39.6	3.997519	45.84398
39.7	3.996537	45.84277
39.8	3.996433	45.84262
39.9	3.997443	45.84388
40	3.99658	45.84283
40.1	3.996439	45.84262
40.2	3.996767	45.84302
40.3	3.996648	45.84292
40.4	3.996448	45.84264
40.5	3.996765	45.84302
40.6	3.996753	45.84305
40.7	3.996458	45.84266
40.8	3.996783	45.84304
40.9	3.996909	45.84324
41	3.996469	45.84267
41.1	3.996799	45.84306
41.2	3.99712	45.8435
41.3	3.996484	45.84269
41.4	3.996818	45.84309
41.5	3.997347	45.84378
41.6	3.996502	45.84272
41.7	3.996838	45.84312
41.8	3.997509	45.84397
41.9	3.99653	45.84276
42	3.996433	45.84261
42.1	3.997477	45.84391
42.2	3.996572	45.84282
42.3	3.996441	45.84263
42.4	3.996867	45.84314
42.5	3.996638	45.8429
42.6	3.996446	45.84264
42.7	3.996762	45.84302
42.8	3.996735	45.84303
42.9	3.996457	45.84266
43	3.996781	45.84304
43.1	3.996885	45.84321
43.2	3.996468	45.84267
43.3	3.996797	45.84306
43.4	3.997086	45.84346
43.5	3.996481	45.84269
43.6	3.996816	45.84309
43.7	3.997315	45.84374
43.8	3.996498	45.84272
43.9	3.996835	45.84312
44	3.997493	45.84395
44.1	3.996526	45.84275
44.2	3.996431	45.84261
44.3	3.996972	45.84328
44.4	3.996733	45.84295
44.5	3.996688	45.84288
44.6	3.996913	45.84315
44.7	3.997062	45.8433
44.8	3.997099	45.84333
44.9	3.9974	45.84371
45	3.997268	45.84355
45.1	3.997158	45.84341
45.2	3.997442	45.84376
45.3	3.997375	45.84379
45.4	3.996569	45.84279
45.5	3.996816	45.8431
45.6	3.997038	45.84344
45.7	3.996444	45.8427
45.8	4.037518	45.09621
45.9	4.01992	45.6432
46	4.023234	45.83132
46.1	4.158951	43.40456
46.2	4.07234	45.30173
46.3	4.083872	45.83291
46.4	4.084474	45.9064
46.5	4.121592	45.44093
46.6	4.140665	45.92019
46.7	4.143242	45.98387
46.8	4.136682	45.99599
46.9	4.021512	45.8602
47	4.002306	45.84051
47.1	3.999513	45.84095
47.2	3.998038	45.84116
47.3	3.997265	45.84105
47.4	3.997307	45.84275
47.5	3.997156	45.84283
47.6	3.996681	45.84236
47.7	3.996915	45.8432
47.8	3.997105	45.84349
47.9	3.996525	45.84275
48	3.996803	45.84308
48.1	3.997244	45.84367
48.2	3.996487	45.84271
48.3	3.996828	45.8431
48.4	3.997456	45.84391
48.5	3.996517	45.84274
48.6	3.996429	45.84261
48.7	3.997524	45.84398
48.8	3.996548	45.84278
48.9	3.996433	45.84263
49	3.997264	45.84365
49.1	3.996604	45.84286
49.2	3.996444	45.84264
49.3	3.996755	45.84301
49.4	3.996688	45.84297
49.5	3.996449	45.84264
49.6	3.996772	45.84303
49.7	3.996812	45.84312
49.8	3.996462	45.84266
49.9	3.996791	45.84306
50	3.996994	45.84334
50.1	3.996476	45.84269
50.2	3.996809	45.84308
