Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	1.531188	42.49865
0.2	1.271648	42.17955
0.3	1.234997	42.13448
0.4	1.225313	42.12256
0.5	1.22022	42.11631
0.6	1.217727	42.11324
0.7	1.217344	42.11277
0.8	1.215815	42.11089
0.9	1.215039	42.10994
1	1.215695	42.11074
1.1	1.214636	42.10944
1.2	1.214172	42.10888
1.3	1.215097	42.11
1.4	1.214191	42.10889
1.5	1.213797	42.10841
1.6	1.215042	42.10993
1.7	1.214282	42.109
1.8	1.213835	42.10845
1.9	1.214699	42.10952
2	1.214392	42.10914
2.1	1.213876	42.1085
2.2	1.214	42.10866
2.3	1.214521	42.10929
2.4	1.213924	42.10856
2.5	1.214037	42.10871
2.6	1.214671	42.10948
2.7	1.213976	42.10863
2.8	1.214078	42.10876
2.9	1.214836	42.10968
3	1.214034	42.1087
3.1	1.214119	42.1088
3.2	1.214992	42.10987
3.3	1.214101	42.10877
3.4	1.214164	42.10886
3.5	1.215091	42.11
3.6	1.214179	42.10887
3.7	1.213792	42.1084
3.8	1.215062	42.10996
3.9	1.214268	42.10898
4	1.213829	42.10845
4.1	1.214779	42.10962
4.2	1.214375	42.10912
4.3	1.21387	42.1085
4.4	1.219785	42.11578
4.5	1.214501	42.10927
4.6	1.213917	42.10855
4.7	1.214032	42.1087
4.8	1.214648	42.10945
4.9	1.213968	42.10862
5	1.214072	42.10875
5.1	1.214812	42.10965
5.2	1.214025	42.10869
5.3	1.214112	42.1088
5.4	1.214972	42.10985
5.5	1.214091	42.10877
5.6	1.214157	42.10885
5.7	1.215083	42.10999
5.8	1.214166	42.10886
5.9	1.214207	42.10891
6	1.215076	42.10998
6.1	1.214255	42.10897
6.2	1.213823	42.10844
6.3	1.214845	42.1097
6.4	1.214358	42.1091
6.5	1.213863	42.10849
6.6	1.214011	42.10867
6.7	1.214481	42.10925
6.8	1.21391	42.10855
6.9	1.214026	42.10869
7	1.214625	42.10942
7.1	1.213959	42.10861
7.2	1.214066	42.10874
7.3	1.214788	42.10962
7.4	1.214017	42.10868
7.5	1.214107	42.10879
7.6	1.214952	42.10983
7.7	1.214082	42.10876
7.8	1.214151	42.10884
7.9	1.215072	42.10997
8	0.8602076	37.32121
8.1	0.2910064	29.44911
8.2	-0.385612	18.12255
8.3	-0.4100311	12.83669
8.4	-0.6037169	9.383823
8.5	-1.310042	-2.404189
8.6	-1.028583	-6.444903
8.7	-1.816987	-15.70335
8.8	-2.225875	-20.29872
8.9	-2.986175	-26.19879
9	-3.149196	-27.5662
9.1	-3.448356	-30.84813
9.2	-3.90545	-33.73921
9.3	-4.171309	-36.10027
9.4	-4.50093	-39.6945
9.5	-5.08428	-44.74277
9.6	-5.659241	-50.03651
9.7	-5.726411	-50.68937
9.8	-7.31552	-65.70479
9.9	-7.978433	-70.97086
10	-8.948721	-79.2991
10.1	-10.23859	-86.25314
10.2	-11.18244	-89.24223
10.3	-11.59317	-90.46442
10.4	-12.12602	-91.40664
10.5	-12.86596	-91.45099
10.6	-13.47879	-90.24907
10.7	-13.71649	-89.3589
10.8	-14.50092	-85.33934
10.9	-14.80316	-83.47568
11	-14.92461	-82.61642
11.1	-15.27291	-79.5184
11.2	-15.82902	-75.04266
11.3	-16.36127	-69.78375
11.4	-16.75735	-65.52988
11.5	-16.9492	-63.10432
11.6	-17.0106	-62.08536
11.7	-17.09731	-61.66698
11.8	-17.2232	-59.63216
11.9	-17.25693	-58.17078
12	-17.29063	-56.70502
12.1	-17.28811	-55.86919
12.2	-17.19742	-54.72508
12.3	-17.23788	-54.77538
12.4	-17.27525	-54.8218
12.5	-17.30857	-55.14239
12.6	-17.23974	-60.59106
12.7	-16.79419	-65.26823
12.8	-16.55692	-67.31151
12.9	-15.76341	-73.36437
13	-14.48585	-82.64148
13.1	-13.52325	-87.40923
13.2	-11.4727	-90.61331
13.3	-11.64252	-90.57597
13.4	-10.35302	-84.17747
13.5	-10.18642	-82.82748
13.6	-9.083096	-74.75189
13.7	-8.787123	-72.13805
13.8	-8.483733	-69.17851
13.9	-7.994153	-66.72043
14	-7.091442	-58.20944
14.1	-6.434703	-51.18409
14.2	-5.735744	-46.21812
14.3	-4.775879	-37.23374
14.4	-3.848451	-27.06919
14.5	-2.534334	-15.80928
14.6	-1.429043	-7.328948
14.7	-0.4242251	6.487025
14.8	-0.0216403	12.24408
14.9	0.6386465	21.52376
15	1.400495	32.07545
15.1	1.747717	38.60621
15.2	1.965904	48.43843
15.3	2.360843	54.4122
15.4	3.313504	66.60722
15.5	2.842527	68.89439
15.6	3.452454	77.34856
15.7	3.983565	83.67754
15.8	4.334894	92.84765
15.9	4.894134	99.95499
16	4.911211	100.2537
16.1	4.718941	102.052
16.2	4.823274	104.3886
16.3	5.729494	113.6718
16.4	5.945242	118.4652
16.5	6.29298	123.0533
16.6	6.512162	125.1028
16.7	7.224762	132.6031
16.8	8.070613	139.7665
16.9	8.249284	140.8996
17	8.529782	143.2067
17.1	8.415313	143.5011
17.2	8.850904	145.4846
17.3	9.028189	146.2363
17.4	8.952477	146.1445
17.5	9.076944	146.5098
17.6	9.365066	147.2359
17.7	9.923328	147.7386
17.8	10.31157	147.4601
17.9	10.68983	146.6148
18	11.24502	144.3239
18.1	12.2471	136.9377
18.2	12.85975	130.4216
18.3	13.51807	128.7012
18.4	14.80872	110.765
18.5	15.50292	102.8891
18.6	16.84236	93.243
18.7	17.74565	84.69609
18.8	17.94498	82.15547
18.9	18.47573	72.1194
