Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
18.6	-11.13356	-84.79516
18.7	-11.55241	-87.34758
18.8	-11.93334	-89.93088
18.9	-12.40019	-92.06366
19	-12.72994	-93.13895
19.1	-13.16788	-94.5592
19.2	-13.61249	-95.30231
19.3	-14.16317	-95.31633
19.4	-14.4661	-94.92591
19.5	-14.6521	-94.43028
19.6	-14.84199	-93.7915
19.7	-15.03987	-93.16218
19.8	-15.2553	-92.28788
19.9	-15.21576	-92.23766
20	-15.57588	-90.676
20.1	-15.75991	-89.74168
20.2	-16.16977	-87.15973
20.3	-16.40151	-85.72043
20.4	-16.40217	-85.72124
20.5	-16.50205	-84.77378
20.6	-16.7916	-82.81229
20.7	-16.97129	-81.53851
20.8	-17.07869	-80.53791
20.9	-17.22013	-79.4507
21	-17.39096	-78.14897
21.1	-17.62327	-76.18396
21.2	-17.66112	-75.85847
21.3	-17.9894	-72.99667
21.4	-18.05959	-72.37884
21.5	-18.10002	-72.07943
21.6	-18.16774	-71.4746
21.7	-18.2912	-70.28274
21.8	-18.40696	-69.12841
21.9	-18.48283	-68.28278
22	-18.50967	-68.0092
22.1	-18.5464	-67.75064
22.2	-18.54978	-67.75477
22.3	-18.57361	-67.48445
22.4	-18.57817	-67.4897
22.5	-18.62348	-66.95654
22.6	-18.6814	-66.17064
22.7	-18.84444	-62.34936
22.8	-18.84964	-62.35573
22.9	-18.85079	-62.35715
23	-18.90759	-62.42675
23.1	-18.92624	-62.67345
23.2	-18.91	-63.347
23.3	-18.7836	-65.46969
23.4	-18.65592	-66.99504
23.5	-18.47307	-68.89049
23.6	-18.13771	-71.77676
23.7	-17.58359	-76.12888
23.8	-16.6665	-82.14986
23.9	-15.25737	-89.88879
24	-14.40906	-94.06794
24.1	-13.50692	-95.08459
24.2	-12.9297	-94.22741
24.3	-12.73817	-93.08338
24.4	-12.46122	-91.53635
24.5	-12.16232	-89.62053
24.6	-11.74787	-87.07716
24.7	-11.35491	-83.6133
24.8	-10.83069	-78.14494
24.9	-10.16547	-72.31773
25	-9.845192	-68.89888
25.1	-9.55007	-65.16171
25.2	-9.10545	-62.03577
25.3	-8.652691	-57.1324
25.4	-8.291723	-52.29169
25.5	-7.750092	-47.48048
25.6	-7.341846	-43.70536
25.7	-6.887898	-37.47825
25.8	-6.260549	-31.01037
25.9	-5.62173	-25.11375
26	-5.130615	-18.49835
26.1	-4.225261	-6.854364
26.2	-3.574916	0.5675259
26.3	-3.106176	9.852945
26.4	-2.979553	13.15892
26.5	-3.231162	14.76013
26.6	-3.260735	15.03655
26.7	-3.083723	17.74732
26.8	-3.040043	21.54553
26.9	-2.753145	27.62348
27	-2.347832	30.84357
27.1	-2.663738	35.1716
27.2	-2.558823	38.59858
27.3	-2.342836	42.73981
27.4	-2.268998	49.06059
27.5	-2.040141	54.96679
27.6	-1.769756	59.73055
27.7	-1.879922	62.24006
27.8	-1.817694	66.13593
27.9	-1.496598	71.22532
28	-1.525697	73.23322
28.1	-1.565285	75.22484
28.2	-1.395125	78.05861
28.3	-1.235102	81.45306
28.4	-1.27246	83.14389
28.5	-1.225106	84.07128
28.6	-1.123028	85.93256
28.7	-1.118522	87.66783
28.8	-1.044382	88.9123
28.9	-1.00937	89.5313
29	-0.959341	91.60286
29.1	-0.9065255	92.52866
29.2	-0.692186	95.46414
29.3	-0.6533849	97.78878
29.4	-0.4940711	100.2556
29.5	-0.3275232	102.4392
29.6	-0.3165574	104.4181
29.7	-0.1218768	107.4521
29.8	0.2277862	111.7533
29.9	0.3587682	115.1789
30	0.631318	119.2518
30.1	0.9521389	122.7701
30.2	1.116968	126.2411
30.3	1.533562	131.6981
