Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
21.6	0.7871546	41.94679
21.7	0.788409	41.95033
21.8	0.7876252	41.94702
21.9	0.7871922	41.94663
22	0.7881299	41.94968
22.1	0.7877305	41.94764
22.2	0.7872328	41.94643
22.3	0.7930735	41.94865
22.4	0.7878553	41.9483
22.5	0.7872774	41.94622
22.6	0.7873917	41.94847
22.7	0.7880005	41.94899
22.8	0.7873293	41.94602
22.9	0.7874314	41.94832
23	0.7881624	41.94965
23.1	0.7873858	41.9458
23.2	0.7874722	41.9482
23.3	0.7883211	41.95024
23.4	0.7874511	41.94563
23.5	0.7875164	41.94814
23.6	0.7884309	41.95069
23.7	0.7875244	41.94552
23.8	0.7875645	41.94752
23.9	0.7884238	41.95089
24	0.787613	41.94549
24.1	0.7871862	41.94748
24.2	0.7881956	41.9507
24.3	0.7877147	41.94559
24.4	0.7872257	41.94746
24.5	0.7873715	41.95862
24.6	0.787836	41.94579
24.7	0.7872713	41.94744
24.8	0.7873867	41.9499
24.9	0.1047648	30.78177
25	-0.3608189	22.89865
25.1	-0.4615181	21.14918
25.2	-0.2187004	18.73174
25.3	-0.1271133	17.67586
25.4	-0.4147334	11.79341
25.5	-0.4238098	8.733465
25.6	-0.478694	6.287405
25.7	-0.8078948	-0.9151946
25.8	-0.7012258	-1.385936
25.9	-0.5001286	-1.117545
26	-0.5128056	-1.741416
26.1	-0.5685508	-3.037147
26.2	-0.6450682	-4.971544
26.3	-0.966034	-9.253819
26.4	-1.110115	-11.01851
26.5	-1.317671	-13.36008
26.6	-1.776485	-17.97852
26.7	-2.042163	-22.27168
26.8	-2.393969	-23.62819
26.9	-2.713933	-27.09159
27	-3.164135	-32.67691
27.1	-3.440691	-33.73745
27.2	-3.552019	-34.47018
27.3	-3.638473	-35.46365
27.4	-3.742657	-36.19196
27.5	-3.88699	-37.2026
27.6	-4.004118	-39.16779
27.7	-4.1666	-40.55594
27.8	-4.497722	-44.19714
27.9	-4.658788	-46.15263
28	-4.970174	-49.17538
28.1	-5.312249	-52.21866
28.2	-5.455059	-53.84099
28.3	-5.700009	-56.26142
28.4	-5.974661	-58.03804
28.5	-6.177956	-60.28528
28.6	-6.499002	-63.78008
28.7	-6.938065	-67.09373
28.8	-7.320327	-71.07735
28.9	-7.611061	-74.04806
29	-8.271329	-78.84032
29.1	-8.578689	-81.3021
29.2	-8.767132	-82.84618
29.3	-9.011505	-83.79286
29.4	-9.668167	-88.12085
29.5	-9.875383	-89.28032
29.6	-10.32896	-91.19408
29.7	-10.45767	-91.58212
29.8	-10.46687	-91.59222
29.9	-10.47228	-91.60583
30	-11.57326	-93.7532
30.1	-12.60633	-92.36333
30.2	-13.05142	-90.60138
30.3	-13.16099	-89.98779
30.4	-13.34988	-89.16395
30.5	-13.87924	-86.23136
30.6	-14.52895	-81.90398
30.7	-14.83259	-79.75884
30.8	-15.51728	-74.74039
30.9	-15.9944	-69.6982
31	-16.20029	-67.53806
31.1	-16.28817	-66.51141
31.2	-16.49179	-64.6589
31.3	-16.59714	-63.06865
31.4	-16.63367	-62.05095
31.5	-16.71778	-60.99015
31.6	-16.73278	-60.47244
31.7	-16.61651	-58.36053
31.8	-16.474	-56.91159
