Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	-1.034194	42.49866
0.2	-1.274483	42.17958
0.3	-1.30843	42.13451
0.4	-1.317416	42.1226
0.5	-1.322151	42.11634
0.6	-1.324474	42.11327
0.7	-1.324841	42.11277
0.8	-1.326261	42.11089
0.9	-1.326977	42.10993
1	-1.326363	42.11073
1.1	-1.327331	42.10942
1.2	-1.327746	42.10884
1.3	-1.326876	42.10998
1.4	-1.327702	42.10887
1.5	-1.32806	42.10839
1.6	-1.326904	42.10994
1.7	-1.327608	42.10901
1.8	-1.328029	42.10846
1.9	-1.327237	42.10953
2	-1.327531	42.10915
2.1	-1.328019	42.10851
2.2	-1.327913	42.10867
2.3	-1.327435	42.10929
2.4	-1.327991	42.10857
2.5	-1.327885	42.10871
2.6	-1.327294	42.10947
2.7	-1.327931	42.10862
2.8	-1.327829	42.10875
2.9	-1.327119	42.10967
3	-1.327857	42.1087
3.1	-1.327774	42.1088
3.2	-1.326965	42.10987
3.3	-1.327792	42.10878
3.4	-1.327735	42.10886
3.5	-1.326882	42.11
3.6	-1.327732	42.10889
3.7	-1.328095	42.10841
3.8	-1.326923	42.10996
3.9	-1.32766	42.10899
4	-1.328067	42.10844
4.1	-1.327188	42.10962
4.2	-1.327559	42.10911
4.3	-1.328023	42.10849
4.4	-1.322545	42.11577
4.5	-1.327432	42.10927
4.6	-1.327971	42.10855
4.7	-1.327863	42.1087
4.8	-1.327291	42.10945
4.9	-1.327922	42.10862
5	-1.327827	42.10875
5.1	-1.327143	42.10965
5.2	-1.327875	42.10868
5.3	-1.327796	42.1088
5.4	-1.327001	42.10985
5.5	-1.32782	42.10877
5.6	-1.327758	42.10885
5.7	-1.3269	42.10999
5.8	-1.327749	42.10885
5.9	-1.32771	42.10891
6	-1.326902	42.10998
6.1	-1.327661	42.10897
6.2	-1.32806	42.10844
6.3	-1.327113	42.1097
6.4	-1.327564	42.1091
6.5	-1.328021	42.10849
6.6	-1.327887	42.10867
6.7	-1.327451	42.10925
6.8	-1.327982	42.10855
6.9	-1.327876	42.1087
7	-1.327321	42.10942
7.1	-1.327938	42.1086
7.2	-1.327841	42.10874
7.3	-1.327171	42.10962
7.4	-1.327884	42.10867
7.5	-1.327802	42.10879
7.6	-1.327017	42.10982
7.7	-1.327823	42.10875
7.8	-1.327758	42.10884
7.9	-1.326903	42.10998
8	-1.327754	42.10885
8.1	-1.327713	42.10891
8.2	-1.32689	42.11
8.3	-1.327675	42.10895
8.4	-1.328067	42.10844
8.5	-1.327065	42.10976
8.6	-1.327583	42.10907
8.7	-1.32803	42.10849
8.8	-1.327783	42.10881
8.9	-1.327471	42.10923
9	-1.32799	42.10854
9.1	-1.32788	42.10868
9.2	-1.32734	42.1094
9.3	-1.327942	42.1086
9.4	-1.327843	42.10873
9.5	-1.32719	42.10959
9.6	-1.327889	42.10867
9.7	-1.327805	42.10878
9.8	-1.327038	42.1098
9.9	-1.327832	42.10875
10	-1.327766	42.10884
10.1	-1.326918	42.10996
10.2	-1.327767	42.10883
10.3	-1.327722	42.10889
10.4	-1.326886	42.11
10.5	-1.327688	42.10893
10.6	-1.328074	42.10843
10.7	-1.327022	42.10983
10.8	-1.327596	42.10905
10.9	-1.328036	42.10847
11	-1.327601	42.10905
11.1	-1.327487	42.1092
11.2	-1.327995	42.10853
11.3	-1.327884	42.10868
11.4	-1.32736	42.10936
11.5	-1.345802	40.83197
11.6	-1.371666	38.91714
