Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
0.1	0.65279	42.39199
0.2	0.3760784	42.02702
0.3	0.3379136	41.97588
0.4	0.3281264	41.9637
0.5	0.3238812	41.95583
0.6	0.320573	41.95236
0.7	0.3204815	41.95279
0.8	0.3195325	41.94953
0.9	0.317839	41.94895
1	0.3190781	41.95039
1.1	0.31827	41.94776
1.2	0.3169527	41.94805
1.3	0.3186689	41.94931
1.4	0.3176627	41.94709
1.5	0.3166247	41.94779
1.6	0.3187058	41.94891
1.7	0.3175509	41.94727
1.8	0.3167642	41.94802
1.9	0.3182732	41.948
2	0.3174675	41.94758
2.1	0.3169715	41.94817
2.2	0.3177934	41.94722
2.3	0.3174481	41.94801
2.4	0.317215	41.94818
2.5	0.3177375	41.94706
2.6	0.3175162	41.94848
2.7	0.3174717	41.94811
2.8	0.3176187	41.947
2.9	0.3176702	41.94895
3	0.3177085	41.94794
3.1	0.3174604	41.94706
3.2	0.3178813	41.94936
3.3	0.3178954	41.94774
3.4	0.3173001	41.94724
3.5	0.3180825	41.94956
3.6	0.3180119	41.94754
3.7	0.316763	41.94695
3.8	0.3181864	41.94949
3.9	0.318058	41.94739
4	0.3166786	41.94728
4.1	0.3179762	41.94892
4.2	0.3180424	41.94737
4.3	0.3166702	41.94762
4.4	0.3175651	41.94808
4.5	0.3179875	41.94748
4.6	0.3167437	41.94793
4.7	0.3177527	41.94785
4.8	0.3179346	41.94773
4.9	0.3169004	41.94818
5	0.3178706	41.94759
5.1	0.3179004	41.9481
5.2	0.3171213	41.94835
5.3	0.3179073	41.94737
5.4	0.3178979	41.94853
5.5	0.3173886	41.94839
5.6	0.3178613	41.9472
5.7	0.3178895	41.94892
5.8	0.3176703	41.94835
5.9	0.3173454	41.94659
6	0.3178274	41.94913
6.1	0.3179375	41.94823
6.2	0.3171849	41.94664
6.3	0.3175502	41.94894
6.4	0.3181645	41.94806
6.5	0.3170196	41.94682
6.6	0.3169772	41.94831
6.7	0.3183281	41.94792
6.8	0.3168858	41.94711
6.9	0.3171957	41.94839
7	0.318431	41.94784
7.1	0.3168156	41.94744
7.2	0.3174419	41.94835
7.3	0.3184681	41.94787
7.4	0.3168189	41.9478
7.5	0.317674	41.94822
7.6	0.318437	41.948
7.7	0.3169144	41.94814
7.8	0.3178701	41.948
7.9	0.3183275	41.94818
8	0.3170918	41.94844
8.1	0.3175941	41.94718
8.2	0.3181047	41.94831
8.3	0.3173456	41.94862
8.4	0.3176288	41.94696
8.5	0.3176673	41.94825
8.6	0.3176496	41.94872
8.7	0.31758	41.94679
8.8	0.3221284	41.95638
8.9	0.317978	41.94873
9	0.3174652	41.94674
9.1	0.139743	38.227
9.2	0.01711784	33.95827
9.3	-0.1687028	29.3901
9.4	-0.3015179	26.32947
9.5	-0.2772046	21.73196
9.6	-0.2850817	18.93153
9.7	-0.5033836	13.36512
9.8	-0.3615583	12.63695
9.9	-0.3027858	10.43547
10	-0.363299	8.488005
10.1	-0.4043041	5.643793
10.2	-0.3224027	4.81873
10.3	-0.3844724	2.866194
10.4	-0.5172661	-1.661304
10.5	-0.4615014	-3.769299
10.6	-0.7193918	-9.014313
10.7	-0.9321028	-11.65519
10.8	-1.173333	-15.59744
10.9	-1.338422	-17.5809
11	-1.505471	-19.89367
11.1	-1.901373	-23.44275
11.2	-2.121068	-25.79986
11.3	-2.219279	-27.12098
11.4	-2.459429	-28.64476
11.5	-2.664762	-31.00277
11.6	-3.013089	-35.92582
11.7	-3.383834	-39.39921
11.8	-3.683182	-42.75329
11.9	-3.986971	-46.98684
12	-4.324252	-49.60456
12.1	-4.6527	-52.37219
12.2	-4.81298	-54.42655
12.3	-5.209511	-58.99858
12.4	-5.513275	-61.67435
12.5	-5.673577	-63.6753
12.6	-5.838618	-65.3008
12.7	-6.275121	-69.17338
12.8	-6.686734	-73.9619
12.9	-7.295696	-80.17121
13	-7.744711	-82.33813
13.1	-8.1831	-85.77563
13.2	-8.883047	-90.15132
13.3	-9.564592	-92.44019
13.4	-10.04911	-93.45876
13.5	-10.8702	-93.47236
13.6	-11.87243	-90.74239
13.7	-12.25425	-89.15746
13.8	-12.95714	-85.42422
13.9	-13.05033	-84.16074
14	-13.72745	-79.63654
14.1	-14.25987	-75.57681
14.2	-14.62028	-72.4893
14.3	-14.88946	-70.16431
14.4	-15.14036	-67.62299
14.5	-15.28841	-66.36517
14.6	-15.47555	-64.50936
14.7	-15.51184	-64.07086
14.8	-15.65319	-60.86337
14.9	-15.70436	-60.39874
15	-15.7168	-60.40943
15.1	-15.7277	-60.41745
15.2	-15.75297	-60.45333
15.3	-15.76405	-60.45934
15.4	-15.76093	-60.45943
15.5	-15.7614	-60.46058
15.6	-15.76557	-60.45983
15.7	-15.75908	-60.46039
15.8	-15.74412	-59.46298
15.9	-15.70601	-58.83023
16	-15.70271	-58.83213
16.1	-15.73965	-58.86649
16.2	-15.74333	-58.87698
16.3	-15.6667	-57.99503
16.4	-15.58066	-57.19897
16.5	-15.5897	-57.21952
16.6	-15.52618	-56.82951
16.7	-15.45565	-56.46083
16.8	-15.46388	-56.47516
16.9	-15.47116	-56.47629
17	-15.46812	-56.48055
17.1	-15.47254	-56.48242
17.2	-15.47335	-56.47965
17.3	-15.47053	-56.48522
17.4	-15.47577	-56.48336
17.5	-15.47009	-56.47986
