Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
20.2	18.56096	192.7572
20.3	18.73203	194.1002
20.4	18.87688	195.4486
20.5	18.99486	196.8038
20.6	19.08799	198.1664
20.7	19.15792	199.5377
20.8	19.2046	200.9194
20.9	19.22655	202.3133
21	19.22196	203.7221
21.1	19.18967	205.1493
21.2	19.12982	206.5965
21.3	19.04587	208.0645
21.4	18.94444	209.5557
21.5	18.83387	211.0748
21.6	18.72245	212.6265
21.7	18.61804	214.2148
21.8	18.52837	215.8413
21.9	18.46023	217.5044
22	18.41865	219.2008
22.1	18.40898	220.9263
22.2	18.43741	222.6759
22.3	18.50955	224.4441
22.4	18.62912	226.2255
22.5	18.79855	228.013
22.6	19.01864	229.798
22.7	19.28894	231.574
22.8	19.60994	233.336
22.9	19.98452	235.0781
23	20.41615	236.7939
23.1	20.90592	238.4774
23.2	21.45201	240.1231
23.3	22.05002	241.7258
23.4	22.69272	243.2808
23.5	23.37312	244.7854
23.6	24.08382	246.2386
23.7	24.81434	247.6416
23.8	25.55218	248.9993
23.9	26.28488	250.3196
24	27.00079	251.6113
24.1	27.69009	252.8835
24.2	28.34531	254.1435
24.3	28.96339	255.3958
24.4	29.54446	256.6431
24.5	30.09024	257.8866
24.6	30.60338	259.1276
24.7	31.08529	260.3676
24.8	31.53595	261.6095
24.9	31.95509	262.8556
25	32.3423	264.1082
25.1	32.69851	265.369
25.2	33.02576	266.6401
25.3	33.32587	267.9231
25.4	33.60006	269.2199
25.5	33.84933	270.532
25.6	34.07502	271.861
25.7	34.27961	273.2075
25.8	34.46711	274.5724
25.9	34.64235	275.956
26	34.80983	277.358
26.1	34.97245	278.7791
26.2	35.13283	280.2194
26.3	35.29392	281.6783
26.4	35.45721	283.1544
26.5	35.62407	284.6467
26.6	35.79793	286.1557
26.7	35.98201	287.6805
26.8	36.17893	289.218
26.9	36.39239	290.766
27	36.62643	292.3227
27.1	36.88348	293.8858
27.2	37.16351	295.453
27.3	37.46216	297.0228
27.4	37.77284	298.5948
27.5	38.09149	300.1687
27.6	38.41818	301.744
27.7	38.75301	303.3208
27.8	39.09483	304.8978
27.9	39.44431	306.4741
28	39.80165	308.0496
28.1	40.16476	309.6241
28.2	40.53162	311.197
28.3	40.90126	312.7688
28.4	41.2733	314.3394
28.5	41.6473	315.9085
28.6	42.0228	317.4763
28.7	42.39951	319.0426
28.8	42.77722	320.6075
28.9	43.15564	322.1707
29	43.53369	323.7299
29.1	43.91046	325.2838
29.2	44.28577	326.8324
29.3	44.65939	328.3758
29.4	45.0308	329.9138
29.5	45.39871	331.4447
29.6	45.76247	332.968
29.7	46.12173	334.4845
29.8	46.47603	335.9945
29.9	46.82493	337.4986
30	47.16795	338.9975
30.1	47.50465	340.4917
30.2	47.83466	341.982
30.3	48.15766	343.469
30.4	48.47336	344.9535
30.5	48.78156	346.4361
30.6	49.08235	347.917
30.7	49.37667	349.3976
30.8	49.66498	350.8771
30.9	49.94791	352.3573
31	50.22622	353.8382
31.1	50.4994	355.3192
31.2	50.76651	356.8019
31.3	51.02682	358.2869
31.4	51.27904	359.7757
31.5	51.52003	361.2696
31.6	51.74767	362.7687
31.7	51.96294	364.272
31.8	52.16827	365.7795
31.9	52.36543	367.2917
32	52.55529	368.8091
32.1	52.73829	370.3321
32.2	52.9151	371.8612
32.3	53.08676	373.3968
32.4	53.25433	374.939
32.5	53.41901	376.4878
32.6	53.58397	378.0422
32.7	53.75533	379.6013
32.8	53.93983	381.1635
32.9	54.14089	382.7282
33	54.35773	384.2936
33.1	54.5855	385.8585
33.2	54.81912	387.4224
33.3	55.05697	388.9853
33.4	55.30047	390.5463
33.5	55.55042	392.1056
33.6	55.80626	393.6622
33.7	56.06632	395.2162
33.8	56.32865	396.7673
