Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
17.6	-11.49181	-80.90275
17.7	-10.60553	-86.10216
17.8	-9.791459	-89.1602
17.9	-9.229992	-90.53448
18	-8.811262	-91.51102
18.1	-8.37182	-91.32208
18.2	-7.703884	-89.35972
18.3	-6.94009	-84.08435
18.4	-6.516124	-79.28423
18.5	-5.896093	-69.80447
18.6	-4.973114	-58.99334
18.7	-4.415425	-50.93937
18.8	-4.048975	-43.92101
18.9	-3.259203	-34.76768
19	-2.533359	-26.368
19.1	-2.034618	-17.01282
19.2	-1.303451	-7.446603
19.3	-0.6687746	-2.210675
19.4	-0.5528462	0.5047348
19.5	-0.4250348	5.491708
19.6	-0.3516742	9.483289
19.7	-0.1449642	17.12833
19.8	-0.02433163	22.91328
19.9	-0.2841915	27.89191
20	-0.26513	30.46937
20.1	-0.1899598	33.11758
20.2	-0.324098	36.71564
20.3	-0.2093571	41.64822
20.4	-0.06275451	46.10573
20.5	-0.2062699	49.87667
20.6	-0.09518635	55.18358
20.7	-0.00562644	57.82563
20.8	-0.04912376	62.91297
20.9	-0.1087337	64.44666
21	-0.08889568	65.27703
21.1	-0.04111671	69.65755
21.2	-0.07215285	71.62225
21.3	0.1147759	76.16415
21.4	0.113641	78.25814
21.5	0.07772064	80.70195
21.6	0.1857204	83.32607
21.7	0.1910665	84.52377
21.8	0.10919	85.80589
21.9	0.1235025	86.61643
22	0.1124139	86.60215
22.1	0.2106569	89.29861
22.2	0.2746105	91.0575
22.3	0.4154828	93.89479
22.4	0.4180787	97.13194
22.5	0.4122505	97.51546
22.6	0.6695538	102.3252
22.7	0.9025726	109.6521
22.8	1.421282	118.6911
22.9	1.556921	120.7049
23	1.368055	123.0944
23.1	1.418593	125.8277
23.2	1.683559	129.4488
23.3	1.66718	131.1835
23.4	1.715237	132.8712
23.5	1.989367	135.8633
23.6	2.193468	138.712
23.7	2.344341	140.607
23.8	2.618674	142.6528
23.9	2.749466	143.8889
24	2.836624	144.9141
24.1	3.062491	145.939
24.2	3.424768	147.1675
24.3	3.514304	147.3989
24.4	3.827449	147.7436
24.5	3.992653	147.7839
24.6	4.243392	147.5547
24.7	4.443315	147.3436
24.8	4.906868	146.2455
24.9	5.280518	145.0647
25	5.399588	144.8545
25.1	5.621317	143.9609
25.2	5.954877	142.363
25.3	6.23313	141.1954
25.4	6.403163	140.3204
25.5	7.132973	135.9387
25.6	7.926754	130.8264
25.7	8.383072	127.2966
25.8	8.805578	125.2442
25.9	10.17527	115.5205
26	10.51456	112.872
26.1	10.63861	113.0274
26.2	11.06705	112.6156
26.3	11.67416	107.4691
26.4	12.22156	102.5929
26.5	12.89945	98.73717
26.6	13.17939	96.49136
26.7	13.49872	93.55098
26.8	14.12271	89.98855
26.9	14.30236	88.71313
27	14.73883	84.03262
27.1	15.04936	82.50258
27.2	15.20928	80.89244
27.3	15.36719	78.43683
27.4	15.39938	78.47244
27.5	15.45467	77.49825
27.6	15.47485	77.01906
27.7	15.49854	76.07191
27.8	15.49468	72.00299
27.9	15.25571	68.2121
28	14.53311	64.44321
28.1	13.54589	61.51398
28.2	13.33507	60.96821
28.3	11.89715	57.72649
28.4	11.64952	57.41434
28.5	11.61888	57.37575
28.6	10.32069	55.03065
28.7	9.780495	54.19509
28.8	9.584483	53.90229
28.9	9.114548	53.22903
29	8.726864	52.71288
29.1	8.24108	52.11243
29.2	7.876399	51.70449
29.3	7.618072	51.44044
29.4	7.440291	51.27365
29.5	7.225439	51.0924
29.6	6.890685	50.86634
29.7	6.807384	50.82216
29.8	6.693076	50.77399
29.9	6.49719	50.73416
30	6.497003	50.73399
30.1	6.438436	50.73334
30.2	6.441531	50.73713
30.3	6.441182	50.73672
30.4	6.44079	50.73625
30.5	6.44329	50.73931
30.6	6.441497	50.7371
30.7	6.441105	50.73665
30.8	6.443276	50.73931
30.9	6.441639	50.73728
31	6.441146	50.73669
31.1	6.442397	50.73824
31.2	6.441802	50.73747
31.3	6.44118	50.73674
31.4	6.440822	50.73631
31.5	6.442013	50.73772
31.6	6.441223	50.73678
31.7	6.440832	50.73631
31.8	6.442282	50.73805
31.9	6.441277	50.73685
32	6.440838	50.73632
