Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
18.8	0.4416275	21.32876
18.9	0.4425023	21.32985
19	0.4416128	21.32874
19.1	0.4416716	21.32882
19.2	0.4425854	21.32995
19.3	0.4416907	21.32884
19.4	0.4413023	21.32836
19.5	0.4425327	21.32989
19.6	0.4417815	21.32895
19.7	0.4413396	21.3284
19.8	0.4421935	21.32947
19.9	0.4418898	21.32909
20	0.4413811	21.32845
20.1	0.4415028	21.32861
20.2	0.4420176	21.32925
20.3	0.4414276	21.32851
20.4	0.44154	21.32866
20.5	0.4421653	21.32943
20.6	0.4414791	21.32858
20.7	0.4415798	21.3287
20.8	0.4423288	21.32963
20.9	0.4415365	21.32865
21	0.441621	21.32876
21.1	0.4424827	21.32982
21.2	0.4416024	21.32873
21.3	0.4416652	21.32881
21.4	0.4425806	21.32995
21.5	0.4416793	21.32883
21.6	0.4412969	21.32835
21.7	0.4425514	21.32991
21.8	0.4417676	21.32894
21.9	0.4413345	21.3284
22	0.2708069	20.07897
22.1	-0.4290196	14.75361
22.2	-0.6943932	12.78667
22.3	-1.152478	9.38596
22.4	-1.225765	6.013926
22.5	-1.472299	3.616605
22.6	-2.009923	-0.4900215
22.7	-1.99148	-3.007383
22.8	-2.320014	-5.808896
22.9	-2.667063	-7.886175
23	-3.09065	-10.50679
23.1	-3.599263	-13.53086
23.2	-3.957863	-15.61951
23.3	-4.287452	-16.62765
23.4	-4.601981	-17.66636
23.5	-4.861153	-19.08185
23.6	-5.228433	-20.87889
23.7	-5.766663	-23.48007
23.8	-6.140599	-25.57406
23.9	-6.433191	-26.97183
24	-7.123546	-30.03572
24.1	-7.610223	-32.68082
24.2	-7.875971	-34.02308
24.3	-8.488191	-36.36118
24.4	-8.770789	-37.75096
24.5	-9.184746	-39.93827
24.6	-9.709724	-41.82001
24.7	-10.19816	-44.14798
24.8	-10.44296	-45.34647
24.9	-11.18093	-48.31148
25	-11.64868	-50.19934
25.1	-11.93453	-51.34315
25.2	-12.54167	-53.20476
25.3	-13.07942	-54.71236
25.4	-13.44625	-55.59155
25.5	-14.00013	-56.48164
25.6	-14.7667	-56.6949
25.7	-15.30043	-55.92761
25.8	-15.89046	-53.73582
25.9	-16.57191	-49.51641
26	-16.87202	-46.34615
26.1	-16.96406	-45.40618
26.2	-17.11877	-44.10964
26.3	-17.13028	-40.14839
26.4	-16.79109	-38.03584
26.5	-16.80932	-37.34706
26.6	-16.65228	-36.83298
26.7	-16.6675	-36.85216
26.8	-16.69907	-36.84379
26.9	-16.71123	-36.85909
27	-16.71444	-36.86313
27.1	-16.71986	-36.86997
27.2	-16.71988	-36.86998
27.3	-16.72062	-36.87091
27.4	-16.72264	-36.87347
27.5	-16.72111	-36.87154
27.6	-16.72121	-36.87165
