Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
23.1	1.433969	4.863304
23.2	1.433967	4.863288
23.3	1.43397	4.863259
23.4	1.433966	4.863237
23.5	1.433969	4.863216
23.6	1.433968	4.863189
23.7	1.433968	4.863163
23.8	1.43397	4.863147
23.9	1.433964	4.863128
24	1.433968	4.863111
24.1	1.433963	4.863097
24.2	1.433967	4.863073
24.3	1.433964	4.863046
24.4	1.433967	4.863018
24.5	1.433964	4.863002
24.6	1.433968	4.862983
24.7	1.433967	4.862956
24.8	1.433967	4.862935
24.9	1.433964	4.862912
25	1.433957	4.862884
25.1	1.433962	4.862861
25.2	1.433965	4.862845
25.3	1.433963	4.862827
25.4	1.433966	4.862802
25.5	1.43396	4.862784
25.6	1.433964	4.862758
25.7	1.433961	4.862732
25.8	1.43396	4.862712
25.9	1.433959	4.86269
26	1.433959	4.862673
26.1	1.433962	4.862654
26.2	1.433963	4.862635
26.3	1.433961	4.862617
26.4	1.433957	4.862597
26.5	1.433957	4.862573
26.6	1.433958	4.862545
26.7	1.433957	4.862526
26.8	1.433957	4.862498
26.9	1.433959	4.862475
27	1.433956	4.862452
27.1	1.433956	4.862436
27.2	1.433957	4.862411
27.3	1.433956	4.862391
27.4	1.433958	4.86237
27.5	1.433958	4.86235
27.6	1.433957	4.862323
27.7	1.433955	4.862304
27.8	1.433956	4.862285
27.9	1.433954	4.862259
28	1.433955	4.86224
28.1	1.433955	4.862217
28.2	1.433954	4.862195
28.3	1.433953	4.862171
28.4	1.433955	4.862154
28.5	1.433954	4.862137
28.6	1.433957	4.862118
28.7	1.433953	4.862097
28.8	1.433955	4.862071
28.9	1.433954	4.862046
29	1.433951	4.862025
29.1	1.433951	4.862002
29.2	1.433951	4.861982
29.3	1.433949	4.861965
29.4	1.433951	4.861951
29.5	1.433954	4.86193
29.6	1.433954	4.861909
29.7	1.433947	4.861894
29.8	1.433951	4.861861
29.9	1.433949	4.861833
30	1.433946	4.861809
30.1	1.433947	4.861782
30.2	1.43395	4.861755
30.3	1.433946	4.861745
30.4	1.433949	4.861727
30.5	1.433951	4.861709
30.6	1.433946	4.861683
30.7	1.433944	4.861662
30.8	1.433951	4.861635
30.9	1.433948	4.861613
31	1.433948	4.861596
31.1	1.433947	4.861574
31.2	1.433947	4.861553
31.3	1.433946	4.861533
31.4	1.433946	4.861511
31.5	1.433948	4.86149
31.6	1.433946	4.861474
31.7	1.433946	4.861448
31.8	1.433947	4.861426
31.9	1.433944	4.861399
32	1.433945	4.861378
32.1	1.433946	4.861354
32.2	1.433944	4.861332
32.3	1.433943	4.861313
32.4	1.433948	4.861291
32.5	1.433947	4.86127
32.6	1.433947	4.861249
32.7	1.433946	4.861228
32.8	1.433944	4.861202
32.9	1.433944	4.861179
33	1.433945	4.861156
33.1	1.433946	4.861138
33.2	1.433943	4.861117
33.3	1.433945	4.861094
33.4	1.433944	4.861075
33.5	1.433942	4.861056
33.6	1.433941	4.861033
33.7	1.433943	4.861011
33.8	1.433943	4.860989
33.9	1.433942	4.860962
34	1.433943	4.860939
34.1	1.433943	4.860919
34.2	1.433941	4.860895
34.3	1.43394	4.860878
34.4	1.43394	4.860858
34.5	1.43394	4.860832
34.6	1.433941	4.860806
34.7	1.433942	4.860786
34.8	1.43394	4.860772
34.9	1.43394	4.860749
35	1.433941	4.860733
35.1	1.433941	4.860707
35.2	1.433938	4.860683
35.3	1.433938	4.860661
35.4	1.433941	4.860641
35.5	1.43394	4.860619
35.6	1.43394	4.8606
35.7	1.433941	4.86058
35.8	1.433939	4.860554
35.9	1.433942	4.860535
36	1.433941	4.860517
36.1	1.433939	4.860497
36.2	1.433935	4.860473
36.3	1.433933	4.860448
36.4	1.433938	4.860424
36.5	1.433937	4.860409
36.6	1.433937	4.86039
36.7	1.433942	4.860367
36.8	1.433934	4.860351
36.9	1.433937	4.86032
37	1.433937	4.860299
37.1	1.433932	4.860277
37.2	1.433933	4.860252
37.3	1.433937	4.86023
37.4	1.433933	4.860216
37.5	1.433935	4.860187
37.6	1.433936	4.860174
37.7	1.433933	4.860152
37.8	1.433935	4.860128
37.9	1.433932	4.860108
38	1.433934	4.860086
38.1	1.43393	4.860064
38.2	1.433933	4.860045
38.3	1.433933	4.860027
38.4	1.433932	4.860005
38.5	1.433933	4.859978
38.6	1.433934	4.859952
38.7	1.43393	4.859934
38.8	1.433929	4.859908
38.9	1.433929	4.859891
39	1.433932	4.859872
39.1	1.433932	4.85985
39.2	1.433931	4.859828
39.3	1.43393	4.859804
39.4	1.433928	4.859779
39.5	1.433928	4.859765
39.6	1.433926	4.859745
39.7	1.433928	4.859722
39.8	1.433929	4.859701
39.9	1.433929	4.859682
40	1.433929	4.859661
40.1	1.433929	4.859631
40.2	1.433927	4.859611
40.3	1.433925	4.859588
40.4	1.433926	4.859568
40.5	1.433925	4.859544
40.6	1.433926	4.859528
40.7	1.433927	4.859505
40.8	1.433929	4.859487
40.9	1.433926	4.859465
41	1.433923	4.859437
41.1	1.433923	4.859412
41.2	1.433922	4.859389
41.3	1.433926	4.859363
41.4	1.433928	4.859341
41.5	1.433926	4.859333
41.6	1.433928	4.859319
41.7	1.433929	4.859293
41.8	1.433926	4.859266
41.9	1.433916	4.859242
42	1.433925	4.859215
42.1	1.433924	4.859192
42.2	1.433924	4.859172
42.3	1.433925	4.859162
42.4	1.433922	4.859144
42.5	1.433926	4.859122
42.6	1.433922	4.859092
42.7	1.433921	4.859071
42.8	1.433923	4.859046
42.9	1.433925	4.859022
43	1.433923	4.859004
43.1	1.43392	4.858983
43.2	1.433924	4.858967
43.3	1.433923	4.858948
43.4	1.433917	4.858925
43.5	1.433921	4.858899
43.6	1.433922	4.858872
43.7	1.433923	4.858848
43.8	1.433918	4.858834
43.9	1.43392	4.85881
44	1.433922	4.858789
44.1	1.433918	4.858768
44.2	1.433917	4.858747
44.3	1.433915	4.858724
44.4	1.433916	4.858699
44.5	1.433915	4.858682
44.6	1.43392	4.858662
44.7	1.433917	4.858642
44.8	1.433917	4.858619
44.9	1.433919	4.858596
45	1.433917	4.858573
45.1	1.433914	4.858558
45.2	1.433915	4.858531
45.3	1.433918	4.858506
45.4	1.433915	4.858484
45.5	1.433915	4.858461
45.6	1.433918	4.858443
45.7	1.433912	4.858426
45.8	1.433913	4.858406
45.9	1.433915	4.858378
46	1.433913	4.858356
46.1	1.43391	4.858338
46.2	1.433912	4.858317
46.3	1.433914	4.858296
46.4	1.433911	4.85828
46.5	1.433913	4.858258
46.6	1.433913	4.858235
46.7	1.433911	4.858215
46.8	1.433914	4.858191
46.9	1.433909	4.858172
47	1.433911	4.858151
47.1	1.433909	4.858126
47.2	1.433912	4.858108
47.3	1.433913	4.858087
47.4	1.433912	4.85807
47.5	1.433912	4.858052
47.6	1.433908	4.858032
47.7	1.433908	4.858004
47.8	1.433905	4.857973
47.9	1.433904	4.857949
48	1.433905	4.857931
48.1	1.433912	4.857916
48.2	1.433906	4.857902
48.3	1.433908	4.857879
48.4	1.433907	4.857849
48.5	1.433905	4.857821
48.6	1.433905	4.8578
48.7	1.433903	4.857776
48.8	1.433904	4.857764
48.9	1.433908	4.857748
49	1.433906	4.857728
49.1	1.433905	4.857707
49.2	1.433908	4.857684
49.3	1.433901	4.857661
49.4	1.433903	4.857636
49.5	1.433906	4.857606
49.6	1.433902	4.857589
49.7	1.433904	4.857566
49.8	1.433906	4.857549
49.9	1.433903	4.857526
50	1.433904	4.85751
50.1	1.433901	4.857488
50.2	1.433904	4.857465
50.3	1.433902	4.857443
50.4	1.433901	4.857418
50.5	1.433903	4.857395
50.6	1.433903	4.857372
50.7	1.433903	4.857355
50.8	1.433899	4.857335
50.9	1.433898	4.857313
51	1.433902	4.857285
51.1	1.433896	4.857265
51.2	1.433903	4.857243
51.3	1.433904	4.857223
51.4	1.433904	4.857203
51.5	1.4339	4.857182
51.6	1.4339	4.857163
51.7	1.433899	4.85714
51.8	1.433894	4.857115
51.9	1.433899	4.85709
52	1.4339	4.857063
52.1	1.433897	4.857052
52.2	1.433898	4.857033
52.3	1.4339	4.857008
52.4	1.433897	4.856988
52.5	1.433895	4.856962
52.6	1.433897	4.856935
52.7	1.433896	4.856918
52.8	1.433896	4.856897
52.9	1.433893	4.856874
53	1.433897	4.856855
53.1	1.433894	4.856835
53.2	1.433896	4.856809
53.3	1.433895	4.856785
53.4	1.433896	4.85676
53.5	1.433895	4.85674
53.6	1.433893	4.85672
53.7	1.433892	4.856702
53.8	1.433894	4.856678
53.9	1.433894	4.856658
54	1.433892	4.856635
54.1	1.433893	4.856615
54.2	1.433894	4.856592
54.3	1.433892	4.856566
54.4	1.433894	4.856543
54.5	1.433892	4.856525
54.6	1.433893	4.856502
54.7	1.433895	4.856485
54.8	1.433893	4.85646
54.9	1.433891	4.856439
55	1.433891	4.856407
55.1	1.433891	4.856386
55.2	1.433889	4.856367
55.3	1.433892	4.856342
55.4	1.433891	4.856321
55.5	1.433891	4.856307
55.6	1.433887	4.856277
55.7	1.433892	4.856256
55.8	1.433888	4.856232
55.9	1.433889	4.856209
56	1.433889	4.85619
56.1	1.433891	4.856169
56.2	1.433887	4.856152
56.3	1.433888	4.856139
56.4	1.433892	4.856112
56.5	1.43389	4.856085
56.6	1.433886	4.856065
56.7	1.433889	4.856034
56.8	1.433886	4.856008
56.9	1.433886	4.855991
57	1.433886	4.855969
57.1	1.433887	4.855956
57.2	1.433888	4.855928
57.3	1.433886	4.855905
57.4	1.433889	4.855879
57.5	1.433885	4.855859
57.6	1.433884	4.855846
57.7	1.433885	4.855823
57.8	1.433883	4.855801
57.9	1.433886	4.855775
58	1.433887	4.855752
58.1	1.433883	4.855737
58.2	1.433883	4.855713
58.3	1.433883	4.855692
58.4	1.433886	4.855667
58.5	1.433884	4.855651
58.6	1.433889	4.855633
58.7	1.433885	4.855608
58.8	1.433884	4.855583
58.9	1.433884	4.855556
59	1.433883	4.85553
59.1	1.43388	4.855515
59.2	1.433884	4.855494
59.3	1.433885	4.855481
59.4	1.433881	4.855464
59.5	1.433881	4.855437
59.6	1.433882	4.855406
59.7	1.433879	4.855382
59.8	1.433883	4.855361
59.9	1.433882	4.85534
60	1.433885	4.855324
60.1	1.433879	4.8553
60.2	1.43388	4.855286
60.3	1.43388	4.855265
60.4	1.433876	4.855237
60.5	1.433877	4.855214
