Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z
17.5	1.433984	4.864522	0
17.6	1.433982	4.864494	0
17.7	1.43398	4.864474	0
17.8	1.433982	4.86444	0
17.9	1.433978	4.864425	0
18	1.433978	4.864405	0
18.1	1.433981	4.864386	0
18.2	1.433975	4.864359	0
18.3	1.433981	4.864336	0
18.4	1.433976	4.864318	0
18.5	1.433979	4.864302	0
18.6	1.433979	4.864284	0
18.7	1.433979	4.864254	0
18.8	1.433979	4.86423	0
18.9	1.433972	4.864213	0
19	1.433975	4.864182	0
19.1	1.433978	4.864162	0
19.2	1.433978	4.864141	0
19.3	1.433984	4.864117	0
19.4	1.433977	4.864102	0
19.5	1.433978	4.864079	0
19.6	1.433975	4.86406	0
19.7	1.43398	4.864035	0
19.8	1.433975	4.864014	0
19.9	1.433977	4.863993	0
20	1.433976	4.863972	0
20.1	1.433976	4.863945	0
20.2	1.433977	4.863923	0
20.3	1.433975	4.863899	0
20.4	1.433977	4.863875	0
20.5	1.433977	4.863855	0
20.6	1.43398	4.86383	0
20.7	1.433975	4.863812	0
20.8	1.433971	4.863794	0
20.9	1.433972	4.863772	0
21	1.433973	4.863751	0
21.1	1.433972	4.863734	0
21.2	1.433972	4.863708	0
21.3	1.433975	4.863688	0
21.4	1.433974	4.863667	0
21.5	1.433972	4.863647	0
21.6	1.433971	4.863619	0
21.7	1.43397	4.863595	0
21.8	1.433972	4.863572	0
21.9	1.433975	4.863565	0
22	1.433975	4.863538	0
22.1	1.433972	4.863526	0
22.2	1.433975	4.863502	0
22.3	1.433968	4.863482	0
22.4	1.433972	4.863461	0
22.5	1.433972	4.863442	0
22.6	1.433967	4.863409	0
22.7	1.433968	4.863379	0
22.8	1.433969	4.863357	0
22.9	1.433967	4.86334	0
23	1.433973	4.863317	0
23.1	1.433969	4.863304	0
23.2	1.433967	4.863288	0
23.3	1.43397	4.863259	0
23.4	1.433966	4.863237	0
23.5	1.433969	4.863216	0
23.6	1.433968	4.863189	0
23.7	1.433968	4.863163	0
23.8	1.43397	4.863147	0
23.9	1.433964	4.863128	0
24	1.433968	4.863111	0
24.1	1.433963	4.863097	0
24.2	1.433967	4.863073	0
24.3	1.433964	4.863046	0
24.4	1.433967	4.863018	0
24.5	1.433964	4.863002	0
24.6	1.433968	4.862983	0
24.7	1.433967	4.862956	0
24.8	1.433967	4.862935	0
24.9	1.433964	4.862912	0
25	1.433957	4.862884	0
25.1	1.433962	4.862861	0
25.2	1.433965	4.862845	0
25.3	1.433963	4.862827	0
25.4	1.433966	4.862802	0
25.5	1.43396	4.862784	0
25.6	1.433964	4.862758	0
25.7	1.433961	4.862732	0
25.8	1.43396	4.862712	0
25.9	1.433959	4.86269	0
26	1.433959	4.862673	0
26.1	1.433962	4.862654	0
26.2	1.433963	4.862635	0
26.3	1.433961	4.862617	0
26.4	1.433957	4.862597	0
26.5	1.433957	4.862573	0
26.6	1.433958	4.862545	0
26.7	1.433957	4.862526	0
26.8	1.433957	4.862498	0
26.9	1.433959	4.862475	0
27	1.433956	4.862452	0
27.1	1.433956	4.862436	0
27.2	1.433957	4.862411	0
27.3	1.433956	4.862391	0
27.4	1.433958	4.86237	0
27.5	1.433958	4.86235	0
27.6	1.433957	4.862323	0
27.7	1.433955	4.862304	0
27.8	1.433956	4.862285	0
27.9	1.433954	4.862259	0
28	1.433955	4.86224	0
28.1	1.433955	4.862217	0
28.2	1.433954	4.862195	0
28.3	1.433953	4.862171	0
28.4	1.433955	4.862154	0
28.5	1.433954	4.862137	0
28.6	1.433957	4.862118	0
28.7	1.433953	4.862097	0
28.8	1.433955	4.862071	0
28.9	1.433954	4.862046	0
29	1.433951	4.862025	0
29.1	1.433951	4.862002	0
29.2	1.433951	4.861982	0
29.3	1.433949	4.861965	0
29.4	1.433951	4.861951	0
29.5	1.433954	4.86193	0
29.6	1.433954	4.861909	0
29.7	1.433947	4.861894	0
29.8	1.433951	4.861861	0
29.9	1.433949	4.861833	0
30	1.433946	4.861809	0
30.1	1.433947	4.861782	0
30.2	1.43395	4.861755	0
30.3	1.433946	4.861745	0
30.4	1.433949	4.861727	0
30.5	1.433951	4.861709	0
30.6	1.433946	4.861683	0
30.7	1.433944	4.861662	0
30.8	1.433951	4.861635	0
30.9	1.433948	4.861613	0
31	1.433948	4.861596	0
31.1	1.433947	4.861574	0
31.2	1.433947	4.861553	0
31.3	1.433946	4.861533	0
31.4	1.433946	4.861511	0
31.5	1.433948	4.86149	0
31.6	1.433946	4.861474	0
31.7	1.433946	4.861448	0
31.8	1.433947	4.861426	0
31.9	1.433944	4.861399	0
32	1.433945	4.861378	0
32.1	1.433946	4.861354	0
32.2	1.433944	4.861332	0
32.3	1.433943	4.861313	0
32.4	1.433948	4.861291	0
32.5	1.433947	4.86127	0
32.6	1.433947	4.861249	0
32.7	1.433946	4.861228	0
32.8	1.433944	4.861202	0
32.9	1.433944	4.861179	0
33	1.433945	4.861156	0
33.1	1.433946	4.861138	0
33.2	1.433943	4.861117	0
33.3	1.433945	4.861094	0
33.4	1.433944	4.861075	0
33.5	1.433942	4.861056	0
33.6	1.433941	4.861033	0
33.7	1.433943	4.861011	0
33.8	1.433943	4.860989	0
33.9	1.433942	4.860962	0
34	1.433943	4.860939	0
34.1	1.433943	4.860919	0
34.2	1.433941	4.860895	0
34.3	1.43394	4.860878	0
34.4	1.43394	4.860858	0
34.5	1.43394	4.860832	0
34.6	1.433941	4.860806	0
34.7	1.433942	4.860786	0
34.8	1.43394	4.860772	0
34.9	1.43394	4.860749	0
35	1.433941	4.860733	0
35.1	1.433941	4.860707	0
35.2	1.433938	4.860683	0
35.3	1.433938	4.860661	0
35.4	1.433941	4.860641	0
35.5	1.43394	4.860619	0
35.6	1.43394	4.8606	0
35.7	1.433941	4.86058	0
35.8	1.433939	4.860554	0
35.9	1.433942	4.860535	0
36	1.433941	4.860517	0
36.1	1.433939	4.860497	0
36.2	1.433935	4.860473	0
36.3	1.433933	4.860448	0
36.4	1.433938	4.860424	0
36.5	1.433937	4.860409	0
36.6	1.433937	4.86039	0
36.7	1.433942	4.860367	0
36.8	1.433934	4.860351	0
36.9	1.433937	4.86032	0
37	1.433937	4.860299	0
37.1	1.433932	4.860277	0
37.2	1.433933	4.860252	0
37.3	1.433937	4.86023	0
37.4	1.433933	4.860216	0
37.5	1.433935	4.860187	0
37.6	1.433936	4.860174	0
37.7	1.433933	4.860152	0
37.8	1.433935	4.860128	0
37.9	1.433932	4.860108	0
38	1.433934	4.860086	0
38.1	1.43393	4.860064	0
38.2	1.433933	4.860045	0
38.3	1.433933	4.860027	0
38.4	1.433932	4.860005	0
38.5	1.433933	4.859978	0
38.6	1.433934	4.859952	0
38.7	1.43393	4.859934	0
38.8	1.433929	4.859908	0
38.9	1.433929	4.859891	0
39	1.433932	4.859872	0
39.1	1.433932	4.85985	0
39.2	1.433931	4.859828	0
39.3	1.43393	4.859804	0
39.4	1.433928	4.859779	0
39.5	1.433928	4.859765	0
39.6	1.433926	4.859745	0
39.7	1.433928	4.859722	0
39.8	1.433929	4.859701	0
39.9	1.433929	4.859682	0
40	1.433929	4.859661	0
40.1	1.433929	4.859631	0
40.2	1.433927	4.859611	0
40.3	1.433925	4.859588	0
40.4	1.433926	4.859568	0
40.5	1.433925	4.859544	0
40.6	1.433926	4.859528	0
40.7	1.433927	4.859505	0
40.8	1.433929	4.859487	0
40.9	1.433926	4.859465	0
41	1.433923	4.859437	0
41.1	1.433923	4.859412	0
41.2	1.433922	4.859389	0
41.3	1.433926	4.859363	0
41.4	1.433928	4.859341	0
41.5	1.433926	4.859333	0
41.6	1.433928	4.859319	0
41.7	1.433929	4.859293	0
41.8	1.433926	4.859266	0
41.9	1.433916	4.859242	0
42	1.433925	4.859215	0
42.1	1.433924	4.859192	0
42.2	1.433924	4.859172	0
42.3	1.433925	4.859162	0
42.4	1.433922	4.859144	0
42.5	1.433926	4.859122	0
42.6	1.433922	4.859092	0
42.7	1.433921	4.859071	0
42.8	1.433923	4.859046	0
42.9	1.433925	4.859022	0
43	1.433923	4.859004	0
43.1	1.43392	4.858983	0
43.2	1.433924	4.858967	0
43.3	1.433923	4.858948	0
43.4	1.433917	4.858925	0
43.5	1.433921	4.858899	0
43.6	1.433922	4.858872	0
43.7	1.433923	4.858848	0
43.8	1.433918	4.858834	0
43.9	1.43392	4.85881	0
44	1.433922	4.858789	0
44.1	1.433918	4.858768	0
44.2	1.433917	4.858747	0
44.3	1.433915	4.858724	0
44.4	1.433916	4.858699	0
44.5	1.433915	4.858682	0
44.6	1.43392	4.858662	0
44.7	1.433917	4.858642	0
44.8	1.433917	4.858619	0
44.9	1.433919	4.858596	0
45	1.433917	4.858573	0
45.1	1.433914	4.858558	0
45.2	1.433915	4.858531	0
45.3	1.433918	4.858506	0
45.4	1.433915	4.858484	0
45.5	1.433915	4.858461	0
45.6	1.433918	4.858443	0
45.7	1.433912	4.858426	0
45.8	1.433913	4.858406	0
45.9	1.433915	4.858378	0
46	1.433913	4.858356	0
46.1	1.43391	4.858338	0
46.2	1.433912	4.858317	0
46.3	1.433914	4.858296	0
46.4	1.433911	4.85828	0
46.5	1.433913	4.858258	0
46.6	1.433913	4.858235	0
46.7	1.433911	4.858215	0
46.8	1.433914	4.858191	0
46.9	1.433909	4.858172	0
47	1.433911	4.858151	0
47.1	1.433909	4.858126	0
47.2	1.433912	4.858108	0
47.3	1.433913	4.858087	0
47.4	1.433912	4.85807	0
47.5	1.433912	4.858052	0
47.6	1.433908	4.858032	0
47.7	1.433908	4.858004	0
47.8	1.433905	4.857973	0
47.9	1.433904	4.857949	0
48	1.433905	4.857931	0
48.1	1.433912	4.857916	0
48.2	1.433906	4.857902	0
48.3	1.433908	4.857879	0
48.4	1.433907	4.857849	0
48.5	1.433905	4.857821	0
48.6	1.433905	4.8578	0
48.7	1.433903	4.857776	0
48.8	1.433904	4.857764	0
48.9	1.433908	4.857748	0
49	1.433906	4.857728	0
49.1	1.433905	4.857707	0
49.2	1.433908	4.857684	0
49.3	1.433901	4.857661	0
49.4	1.433903	4.857636	0
49.5	1.433906	4.857606	0
49.6	1.433902	4.857589	0
49.7	1.433904	4.857566	0
49.8	1.433906	4.857549	0
49.9	1.433903	4.857526	0
50	1.433904	4.85751	0
50.1	1.433901	4.857488	0
50.2	1.433904	4.857465	0
50.3	1.433902	4.857443	0
50.4	1.433901	4.857418	0
50.5	1.433903	4.857395	0
50.6	1.433903	4.857372	0
50.7	1.433903	4.857355	0
50.8	1.433899	4.857335	0
50.9	1.433898	4.857313	0
51	1.433902	4.857285	0
51.1	1.433896	4.857265	0
51.2	1.433903	4.857243	0
51.3	1.433904	4.857223	0
51.4	1.433904	4.857203	0
51.5	1.4339	4.857182	0
51.6	1.4339	4.857163	0
51.7	1.433899	4.85714	0
51.8	1.433894	4.857115	0
51.9	1.433899	4.85709	0
52	1.4339	4.857063	0
52.1	1.433897	4.857052	0
52.2	1.433898	4.857033	0
52.3	1.4339	4.857008	0
52.4	1.433897	4.856988	0
52.5	1.433895	4.856962	0
52.6	1.433897	4.856935	0
52.7	1.433896	4.856918	0
52.8	1.433896	4.856897	0
52.9	1.433893	4.856874	0
53	1.433897	4.856855	0
53.1	1.433894	4.856835	0
53.2	1.433896	4.856809	0
53.3	1.433895	4.856785	0
53.4	1.433896	4.85676	0
53.5	1.433895	4.85674	0
53.6	1.433893	4.85672	0
53.7	1.433892	4.856702	0
53.8	1.433894	4.856678	0
53.9	1.433894	4.856658	0
54	1.433892	4.856635	0
54.1	1.433893	4.856615	0
54.2	1.433894	4.856592	0
54.3	1.433892	4.856566	0
54.4	1.433894	4.856543	0
54.5	1.433892	4.856525	0
54.6	1.433893	4.856502	0
54.7	1.433895	4.856485	0
54.8	1.433893	4.85646	0
54.9	1.433891	4.856439	0
55	1.433891	4.856407	0
55.1	1.433891	4.856386	0
55.2	1.433889	4.856367	0
55.3	1.433892	4.856342	0
55.4	1.433891	4.856321	0
55.5	1.433891	4.856307	0
55.6	1.433887	4.856277	0
55.7	1.433892	4.856256	0
55.8	1.433888	4.856232	0
55.9	1.433889	4.856209	0
56	1.433889	4.85619	0
56.1	1.433891	4.856169	0
56.2	1.433887	4.856152	0
56.3	1.433888	4.856139	0
56.4	1.433892	4.856112	0
56.5	1.43389	4.856085	0
56.6	1.433886	4.856065	0
56.7	1.433889	4.856034	0
56.8	1.433886	4.856008	0
56.9	1.433886	4.855991	0
57	1.433886	4.855969	0
57.1	1.433887	4.855956	0
57.2	1.433888	4.855928	0
57.3	1.433886	4.855905	0
57.4	1.433889	4.855879	0
57.5	1.433885	4.855859	0
57.6	1.433884	4.855846	0
57.7	1.433885	4.855823	0
57.8	1.433883	4.855801	0
57.9	1.433886	4.855775	0
58	1.433887	4.855752	0
58.1	1.433883	4.855737	0
58.2	1.433883	4.855713	0
58.3	1.433883	4.855692	0
58.4	1.433886	4.855667	0
58.5	1.433884	4.855651	0
58.6	1.433889	4.855633	0
58.7	1.433885	4.855608	0
58.8	1.433884	4.855583	0
58.9	1.433884	4.855556	0
59	1.433883	4.85553	0
59.1	1.43388	4.855515	0
59.2	1.433884	4.855494	0
59.3	1.433885	4.855481	0
59.4	1.433881	4.855464	0
59.5	1.433881	4.855437	0
59.6	1.433882	4.855406	0
59.7	1.433879	4.855382	0
59.8	1.433883	4.855361	0
59.9	1.433882	4.85534	0
60	1.433885	4.855324	0
60.1	1.433879	4.8553	0
60.2	1.43388	4.855286	0
60.3	1.43388	4.855265	0
60.4	1.433876	4.855237	0
60.5	1.433877	4.855214	0
60.6	1.433879	4.85519	0
60.7	1.433877	4.855171	0
60.8	1.433879	4.855145	0
60.9	1.433878	4.855133	0
61	1.433878	4.855115	0
61.1	1.433877	4.855093	0
61.2	1.433878	4.855072	0
61.3	1.433876	4.855044	0
61.4	1.433878	4.855017	0
61.5	1.433874	4.855	0
61.6	1.433877	4.85498	0
61.7	1.433876	4.854957	0
61.8	1.433874	4.854943	0
61.9	1.433875	4.854923	0
62	1.433875	4.854897	0
62.1	1.433877	4.854871	0
62.2	1.43387	4.854854	0
62.3	1.433877	4.854829	0
62.4	1.433875	4.854808	0
62.5	1.433872	4.854787	0
62.6	1.433874	4.854764	0
62.7	1.433874	4.854744	0
62.8	1.433873	4.854721	0
62.9	1.433874	4.854695	0
63	1.433874	4.854674	0
63.1	1.433868	4.854654	0
63.2	1.433871	4.854632	0
63.3	1.433866	4.854615	0
63.4	1.433872	4.854603	0
63.5	1.433876	4.854583	0
63.6	1.43387	4.854558	0
63.7	1.433867	4.854537	0
63.8	1.433871	4.854507	0
63.9	1.433866	4.854479	0
64	1.433868	4.854464	0
64.1	1.433867	4.854449	0
64.2	1.433868	4.854435	0
64.3	1.43387	4.854405	0
64.4	1.433866	4.854379	0
64.5	1.433863	4.854359	0
64.6	1.433869	4.854332	0
64.7	1.433866	4.854309	0
64.8	1.433863	4.854291	0
64.9	1.433869	4.854271	0
65	1.433866	4.85425	0
65.1	1.433867	4.854232	0
65.2	1.433865	4.854208	0
65.3	1.433865	4.854188	0
65.4	1.433865	4.85417	0
65.5	1.433864	4.854142	0
65.6	1.433866	4.854118	0
65.7	1.433863	4.854096	0
65.8	1.433866	4.854078	0
65.9	1.433866	4.854061	0
66	1.433864	4.854038	0
66.1	1.433865	4.854017	0
66.2	1.433862	4.853992	0
66.3	1.433863	4.853969	0
66.4	1.433864	4.853951	0
