Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
12.4	1.433998	4.865612	0	0.0008667841
12.5	1.433993	4.86559	0	0.001110077
12.6	1.433992	4.865569	0	0.001102758
12.7	1.433993	4.865548	0	0.001399542
12.8	1.433996	4.865534	0	0.001185658
12.9	1.433995	4.865508	0	0.0009602794
13	1.433992	4.865477	0	0.000420107
13.1	1.433993	4.865457	0	0.0005865366
13.2	1.433994	4.865432	0	0.0007385376
13.3	1.433989	4.865415	0	0.001150057
13.4	1.433993	4.865391	0	0.001256836
13.5	1.433993	4.865374	0	0.001187768
13.6	1.433993	4.865356	0	0.000826656
13.7	1.433993	4.865336	0	0.0005213635
13.8	1.433993	4.865311	0	0.0004447236
13.9	1.433992	4.865279	0	0.0004934964
14	1.433991	4.865258	0	0.0005314658
14.1	1.433989	4.865244	0	0.0009590833
14.2	1.433988	4.865226	0	0.001374092
14.3	1.43399	4.865203	0	0.001278072
14.4	1.43399	4.86519	0	0.001644694
14.5	1.43399	4.86517	0	0.001689373
14.6	1.433991	4.865141	0	0.0009453373
14.7	1.433986	4.865131	0	0.0008192153
14.8	1.433987	4.865108	0	0.0007636993
14.9	1.433986	4.865078	0	0.0005087767
15	1.433984	4.865051	0	0.0006524303
15.1	1.433986	4.865027	0	0.001072331
15.2	1.433988	4.865003	0	0.001332627
15.3	1.433986	4.864991	0	0.001593035
15.4	1.433984	4.864979	0	0.001733038
15.5	1.433991	4.864954	0	0.001368942
15.6	1.433987	4.864927	0	0.001001193
15.7	1.433983	4.864901	0	0.0009308006
15.8	1.433987	4.864874	0	0.0008396231
15.9	1.433985	4.864854	0	0.0007571777
16	1.43398	4.86484	0	0.001232232
16.1	1.433988	4.864813	0	0.001081647
16.2	1.433984	4.864799	0	0.001000335
16.3	1.433981	4.864779	0	0.0009938334
16.4	1.433981	4.864756	0	0.001080369
16.5	1.433985	4.864727	0	0.0008239477
16.6	1.433984	4.864708	0	0.001057381
16.7	1.433985	4.864686	0	0.001092266
16.8	1.433986	4.864663	0	0.0009279693
16.9	1.433983	4.864639	0	0.0008203551
17	1.433983	4.864615	0	0.0005739123
17.1	1.433981	4.864594	0	0.0005746079
17.2	1.43398	4.864573	0	0.0007812266
17.3	1.43398	4.864552	0	0.0006892218
17.4	1.43398	4.864533	0	0.001229037
17.5	1.433984	4.864522	0	0.001413432
17.6	1.433982	4.864494	0	0.0013613
17.7	1.43398	4.864474	0	0.0008634635
17.8	1.433982	4.86444	0	0.0004753119
17.9	1.433978	4.864425	0	0.0008819167
18	1.433978	4.864405	0	0.0009620544
18.1	1.433981	4.864386	0	0.0007509026
18.2	1.433975	4.864359	0	0.001359088
18.3	1.433981	4.864336	0	0.001260912
18.4	1.433976	4.864318	0	0.001310165
18.5	1.433979	4.864302	0	0.001099276
18.6	1.433979	4.864284	0	0.001154996
18.7	1.433979	4.864254	0	0.0009241384
18.8	1.433979	4.86423	0	0.000773692
18.9	1.433972	4.864213	0	0.001263987
19	1.433975	4.864182	0	0.001188854
19.1	1.433978	4.864162	0	0.001192162
19.2	1.433978	4.864141	0	0.001223062
19.3	1.433984	4.864117	0	0.0007580556
19.4	1.433977	4.864102	0	0.001124915
19.5	1.433978	4.864079	0	0.001242044
19.6	1.433975	4.86406	0	0.001236272
19.7	1.43398	4.864035	0	0.0008168027
19.8	1.433975	4.864014	0	0.000916765
19.9	1.433977	4.863993	0	0.0009782091
20	1.433976	4.863972	0	0.001482574
20.1	1.433976	4.863945	0	0.001243535
20.2	1.433977	4.863923	0	0.001150755
20.3	1.433975	4.863899	0	0.001022859
20.4	1.433977	4.863875	0	0.0008790301
20.5	1.433977	4.863855	0	0.0007236011
20.6	1.43398	4.86383	0	0.0005318242
20.7	1.433975	4.863812	0	0.0009116112
20.8	1.433971	4.863794	0	0.001318232
20.9	1.433972	4.863772	0	0.001308743
21	1.433973	4.863751	0	0.001227093
21.1	1.433972	4.863734	0	0.001326846
21.2	1.433972	4.863708	0	0.001292197
21.3	1.433975	4.863688	0	0.001216686
21.4	1.433974	4.863667	0	0.0008549331
21.5	1.433972	4.863647	0	0.0008958984
21.6	1.433971	4.863619	0	0.0006829312
21.7	1.43397	4.863595	0	0.0007335063
21.8	1.433972	4.863572	0	0.001196511
21.9	1.433975	4.863565	0	0.001764358
22	1.433975	4.863538	0	0.001767362
22.1	1.433972	4.863526	0	0.001961008
22.2	1.433975	4.863502	0	0.00151478
22.3	1.433968	4.863482	0	0.001122549
22.4	1.433972	4.863461	0	0.0009556381
22.5	1.433972	4.863442	0	0.0005270293
22.6	1.433967	4.863409	0	0.0006394822
22.7	1.433968	4.863379	0	0.0006063843
22.8	1.433969	4.863357	0	0.0005521764
22.9	1.433967	4.86334	0	0.0008063566
23	1.433973	4.863317	0	0.001369416
23.1	1.433969	4.863304	0	0.001337986
23.2	1.433967	4.863288	0	0.00153444
23.3	1.43397	4.863259	0	0.001189798
23.4	1.433966	4.863237	0	0.001033247
23.5	1.433969	4.863216	0	0.0009127844
23.6	1.433968	4.863189	0	0.001235662
23.7	1.433968	4.863163	0	0.001270932
23.8	1.43397	4.863147	0	0.001232436
23.9	1.433964	4.863128	0	0.00127675
24	1.433968	4.863111	0	0.001063027
24.1	1.433963	4.863097	0	0.000922954
24.2	1.433967	4.863073	0	0.0007925556
24.3	1.433964	4.863046	0	0.001013103
24.4	1.433967	4.863018	0	0.001180259
24.5	1.433964	4.863002	0	0.001481086
24.6	1.433968	4.862983	0	0.001504148
24.7	1.433967	4.862956	0	0.001238092
24.8	1.433967	4.862935	0	0.001080232
24.9	1.433964	4.862912	0	0.0009665343
25	1.433957	4.862884	0	0.001214649
25.1	1.433962	4.862861	0	0.001569389
25.2	1.433965	4.862845	0	0.001476971
25.3	1.433963	4.862827	0	0.001697121
25.4	1.433966	4.862802	0	0.001141008
25.5	1.43396	4.862784	0	0.001030031
25.6	1.433964	4.862758	0	0.0005637077
25.7	1.433961	4.862732	0	0.0009939391
25.8	1.43396	4.862712	0	0.0008519531
25.9	1.433959	4.86269	0	0.0005282077
26	1.433959	4.862673	0	0.0007921894
26.1	1.433962	4.862654	0	0.0009679058
26.2	1.433963	4.862635	0	0.001284271
26.3	1.433961	4.862617	0	0.001230214
26.4	1.433957	4.862597	0	0.001617386
26.5	1.433957	4.862573	0	0.001418529
26.6	1.433958	4.862545	0	0.0009075024
26.7	1.433957	4.862526	0	0.0008314786
26.8	1.433957	4.862498	0	0.0009454737
26.9	1.433959	4.862475	0	0.001120484
27	1.433956	4.862452	0	0.001353023
27.1	1.433956	4.862436	0	0.0012617
27.2	1.433957	4.862411	0	0.001063405
27.3	1.433956	4.862391	0	0.0008948902
27.4	1.433958	4.86237	0	0.000963888
27.5	1.433958	4.86235	0	0.001107194
27.6	1.433957	4.862323	0	0.001172888
27.7	1.433955	4.862304	0	0.001252771
27.8	1.433956	4.862285	0	0.001202624
27.9	1.433954	4.862259	0	0.001192861
28	1.433955	4.86224	0	0.001033156
28.1	1.433955	4.862217	0	0.0008826235
28.2	1.433954	4.862195	0	0.0008348009
28.3	1.433953	4.862171	0	0.0007743383
28.4	1.433955	4.862154	0	0.001078783
28.5	1.433954	4.862137	0	0.001295773
28.6	1.433957	4.862118	0	0.001250231
28.7	1.433953	4.862097	0	0.001219515
28.8	1.433955	4.862071	0	0.001003014
28.9	1.433954	4.862046	0	0.0004944812
29	1.433951	4.862025	0	0.0006045531
29.1	1.433951	4.862002	0	0.0008086443
29.2	1.433951	4.861982	0	0.001445356
29.3	1.433949	4.861965	0	0.001377381
29.4	1.433951	4.861951	0	0.001461377
29.5	1.433954	4.86193	0	0.00128119
29.6	1.433954	4.861909	0	0.0009813957
29.7	1.433947	4.861894	0	0.001077948
29.8	1.433951	4.861861	0	0.0007908539
29.9	1.433949	4.861833	0	0.0003304592
30	1.433946	4.861809	0	0.000765741
30.1	1.433947	4.861782	0	0.001262499
30.2	1.43395	4.861755	0	0.0009897067
30.3	1.433946	4.861745	0	0.001296863
30.4	1.433949	4.861727	0	0.001510192
30.5	1.433951	4.861709	0	0.001237322
30.6	1.433946	4.861683	0	0.0005235868
30.7	1.433944	4.861662	0	0.0007759833
30.8	1.433951	4.861635	0	0.0006422232
30.9	1.433948	4.861613	0	0.0005705638
31	1.433948	4.861596	0	0.0008247708
31.1	1.433947	4.861574	0	0.001337738
31.2	1.433947	4.861553	0	0.001225084
31.3	1.433946	4.861533	0	0.001040391
31.4	1.433946	4.861511	0	0.001189205
31.5	1.433948	4.86149	0	0.001189907
31.6	1.433946	4.861474	0	0.00100628
31.7	1.433946	4.861448	0	0.0009078323
31.8	1.433947	4.861426	0	0.001022817
31.9	1.433944	4.861399	0	0.001076626
32	1.433945	4.861378	0	0.0009948564
32.1	1.433946	4.861354	0	0.001110122
32.2	1.433944	4.861332	0	0.001032122
32.3	1.433943	4.861313	0	0.00141213
32.4	1.433948	4.861291	0	0.001408594
32.5	1.433947	4.86127	0	0.001407613
32.6	1.433947	4.861249	0	0.00139639
32.7	1.433946	4.861228	0	0.001090446
32.8	1.433944	4.861202	0	0.0007708548
32.9	1.433944	4.861179	0	0.001101689
33	1.433945	4.861156	0	0.001197223
33.1	1.433946	4.861138	0	0.001443807
