1	4.0	3.72518	17.4428	0.1705197	0.9221834
2	4.0	2.16661	12.2788	0.1464431	0.9009834
3	4.0	2.37237	18.663	0.1755141	0.929892
4	4.0	3.84407	21.8782	0.1939604	0.9395446
5	4.0	2.5207	13.0698	0.1492689	0.9031825
6	4.0	3.32532	23.3043	0.2009057	0.9418733
7	4.0	1.74529	16.0569	0.162921	0.9221429
8	4.0	3.23399	24.39	0.2066951	0.9430871
9	4.0	2.80917	21.6136	0.1911818	0.9382842
10	4.0	4.91374	16.9514	0.1706088	0.9168048
11	4.0	3.56584	19.1944	0.1791514	0.9303405
12	4.0	4.05157	24.332	0.2081154	0.9448798
13	4.0	1.98231	18.0734	0.1727635	0.9290669
14	4.0	1.63202	20.3701	0.1853942	0.9378385
15	4.0	2.72381	14.6356	0.1559501	0.9106559
16	4.0	4.82215	13.3972	0.1555684	0.8966282
17	4.0	4.14892	14.5667	0.1579225	0.9057928
18	4.0	4.57863	20.5407	0.1882618	0.9351778
19	4.0	3.04715	22.4859	0.1960933	0.9400702
20	4.0	4.35997	15.3616	0.1618222	0.9094935
